CatchTime,CatchType,Accuracy,ResponseTime
12,1,1,0.01742521696724
28,4,0,0
30,1,1,0.0852396660484374
34,2,1,0.111529893008992
46,1,1,0.102445722091943
48,2,1,0.0149791650474072
50,3,0,0
54,2,1,0.00604747701436281
60,3,0,0
64,1,1,0.0326902591623366
68,4,0,0
74,4,0,0
80,3,0,0
88,4,0,0
90,3,0,0
100,3,0,0
102,3,0,0
110,1,1,0.103625171119347
112,1,1,0.015179991023615
116,1,1,0.00416213506832719
132,3,0,0
134,1,1,0.00603395304642618
140,4,0,0
146,1,1,0.110691581154242
148,2,1,0.0681891508866102
150,2,1,0.014941702131182
152,2,1,0.0151338211726397
154,3,0,0
158,2,1,0.0581215668935329
162,4,0,0
164,2,1,0.0329497850034386
168,2,1,0.058360039955005
170,4,0,0
180,3,0,0
182,4,0,0
186,4,0,0
196,2,1,0.0943582479376346
200,4,0,0
202,1,1,0.0588932349346578
204,3,0,0
