CatchTime,CatchType,Accuracy,ResponseTime
4,1,1,0.0495653718244284
8,2,1,0.0401512640528381
14,3,0,0
16,2,1,0.0240842138882726
20,1,1,0.0414524350780994
24,2,1,0.0844758918974549
26,3,0,0
30,4,0,0
36,4,0,0
44,3,0,0
54,3,0,0
56,4,0,0
62,4,0,0
70,1,1,0.0237212630454451
72,2,1,0.00619815313257277
74,1,1,0.0239850350189954
76,1,1,0.0596091761253774
78,3,0,0
88,4,0,0
92,1,1,0.0584324458613992
98,2,1,0.110134798102081
106,4,0,0
108,2,1,0.0852307910099626
110,1,1,0.0145052999723703
112,1,1,0.102223360911012
124,3,0,0
130,4,0,0
134,3,0,0
142,2,1,0.0860678919125348
144,1,1,0.102115578018129
148,4,0,0
150,4,0,0
156,2,1,0.00608595507219434
160,3,0,0
168,3,0,0
174,1,1,0.0582754509523511
184,3,0,0
192,4,0,0
202,2,1,0.0508048720657825
208,2,1,0.0148623848799616
