CatchTime,CatchType,Accuracy,ResponseTime
4,3,0,0
8,2,1,0.0157666999730282
24,4,0,0
26,3,0,0
28,3,0,0
34,1,0,0
36,4,0,0
38,2,1,0.0322229830198921
40,1,1,0.101715583004989
42,1,1,0.0814291739952751
52,3,0,0
54,3,0,0
56,2,1,0.0750646369997412
60,4,0,0
64,4,0,0
74,2,1,0.0842220630147494
80,3,0,0
94,2,1,0.0666795800207183
96,1,1,0.0238423239788972
100,4,0,0
104,2,1,0.10160613397602
110,3,0,0
114,2,1,0.0752242550370283
120,1,1,0.0138527500093915
124,1,0,0
126,1,1,0.0580639459658414
128,1,1,0.0850119499955326
136,4,0,0
138,2,1,0.117983006988652
142,3,0,0
144,4,0,0
148,4,0,0
164,4,0,0
180,1,1,0.0663409490371123
182,2,1,0.0749612310319208
184,4,0,0
188,2,1,0.0838576870155521
194,3,0,0
196,1,0,0
198,3,0,0
