CatchTime,CatchType,Accuracy,ResponseTime
10,3,0,0
16,4,0,0
22,4,0,0
26,3,0,0
32,2,1,0.0608685549814254
36,2,1,0.0593905760906637
50,4,0,0
60,3,0,0
66,4,0,0
68,1,1,0.0497089049313217
72,1,1,0.00404327595606446
74,3,0,0
76,4,0,0
78,1,1,0.0408252282068133
80,2,1,0.0060761661734432
86,1,1,0.048181887017563
94,1,1,0.0149576768744737
98,2,1,0.0236024740152061
100,4,0,0
104,3,0,0
108,2,1,0.0417040779720992
112,3,0,0
114,4,0,0
116,1,1,0.0327101401053369
136,3,0,0
140,4,0,0
142,2,1,0.00602597207762301
144,3,0,0
154,3,0,0
158,2,1,0.084642652887851
160,2,1,0.0575180221349001
166,1,1,0.0236828299239278
178,1,1,0.100686628837138
182,1,1,0.0317445921245962
184,2,1,0.0327266168314964
188,4,0,0
190,1,1,0.0987306339666247
198,2,1,0.0932322200387716
202,3,0,0
206,4,0,0
