CatchTime,CatchType,Accuracy,ResponseTime
6,3,0,0
10,2,0,0
12,4,0,0
18,4,0,0
20,1,1,0.0519442241638899
22,1,1,0.0494267139583826
24,2,1,0.04150724504143
26,4,0,0
32,3,0,0
46,4,0,0
48,3,0,0
56,1,1,0.0842434167861938
58,2,1,0.00611226540058851
60,2,1,0.00589206535369158
66,4,0,0
70,1,1,0.075822557322681
72,2,1,0.00609934516251087
76,4,0,0
90,1,1,0.006480916403234
92,4,0,0
102,1,1,0.0406174780800939
110,1,1,0.0322788143530488
112,3,0,0
118,3,0,0
120,3,0,0
126,3,0,0
132,1,1,0.111008752137423
142,3,0,0
150,2,1,0.0327189415693283
158,4,0,0
164,2,1,0.00499204453080893
168,2,1,0.0583798419684172
172,2,1,0.00611004047095776
176,3,0,0
182,4,0,0
196,4,0,0
198,2,0,0
200,1,1,0.0578473443165421
202,3,0,0
204,1,0,0
