PresOrder,TrialNumber,Background,StairNum,BlockNum,PerspNum,CurrSize,Response,ReactionTIme,Stair_Update
270,272,1,2,4,2,1.25,2,1.12252166999679,1
271,320,1,4,4,2,0.5,1,1.12043803399865,0
272,317,1,4,4,1,0.5,1,1.06887308799924,0
273,315,1,4,4,1,0.5,1,1.1312776220002,0
274,249,1,1,4,1,1.175,2,1.20622363500297,1
275,304,1,3,4,2,1.5,2,1.22450174000551,1
276,268,1,2,4,2,1.25,1,1.1721165439958,0
277,267,1,1,4,1,1.125,1,1.26370348500495,0
278,271,1,1,4,1,1.4,2,1.18614318999607,1
279,244,1,2,4,2,1.3,1,1.16254862400092,0
280,300,1,2,4,2,1.125,1,1.11154402299871,0
281,289,1,1,4,1,1.35,2,1.05998008700408,1
282,283,1,1,4,1,0.75,1,1.02056212099706,0
283,269,1,1,4,1,1.3,2,1.26114730999689,1
284,248,1,2,4,2,1.35,2,1.22045812800206,1
285,245,1,1,4,1,1.125,1,1.22064713500004,0
286,295,1,1,4,1,1.35,1,1.12610595199658,0
287,314,1,4,4,2,0.5,1,1.17225015899749,0
288,255,1,1,4,1,0.6,1,1.03187270600029,0
289,247,1,1,4,1,1.5,2,1.01509864500258,1
290,286,1,2,4,2,1.3,2,1.06004132000089,1
291,305,1,3,4,1,1.5,2,1.03488689700316,1
292,280,1,2,4,2,1.3,2,1.24487246700301,1
293,287,1,1,4,1,1.5,2,1.05289049199928,1
294,276,1,2,4,2,1.3,2,1.18882151199796,1
295,309,1,3,4,1,1.5,2,1.13416340800177,1
296,310,1,3,4,2,1.5,2,1.02014878599584,1
297,308,1,3,4,2,1.5,2,1.09998187599558,1
298,274,1,2,4,2,1.2,1,1.10384326399799,0
299,291,1,1,4,1,0.7,1,1.02023241899587,0
300,278,1,2,4,2,1.3,2,1.1512225080005,1
301,319,1,4,4,1,0.5,1,1.28532987100334,0
302,307,1,3,4,1,1.5,2,1.01594561299862,1
303,284,1,2,4,2,1.3,2,1.12879496900132,1
304,279,1,1,4,1,1.45,2,1.01128704299481,1
305,256,1,2,4,2,1.25,2,1.25526629600063,1
306,292,1,2,4,2,1.2,2,1.35112315299921,1
307,311,1,4,4,1,0.5,1,1.43514914499974,0
308,259,1,1,4,1,1.4,2,1.32912932999898,1
309,312,1,4,4,2,0.5,1,1.23030683700199,0
310,263,1,1,4,1,0.8,1,1.30189720800263,0
311,243,1,1,4,1,1.125,2,1.28461518300173,1
312,281,1,1,4,1,1.3,2,1.1495217299962,1
313,260,1,2,4,2,1.2,1,1.46884866300388,0
314,313,1,4,4,1,0.5,1,1.46535456399579,0
315,282,1,2,4,2,1.2,1,1.53686718700192,0
316,293,1,1,4,1,0.825,1,1.17389913499937,0
317,302,1,3,4,2,1.5,2,1.15291943000193,1
318,299,1,1,4,1,1.2,2,1.31511675799993,1
319,288,1,2,4,2,1.2,1,1.4971273379997,0
320,251,1,1,4,1,1.1,2,1.35742133399617,1
