PresOrder,TrialNumber,Background,StairNum,BlockNum,PerspNum,CurrSize,Response,ReactionTIme,Stair_Update
255,266,2,2,4,2,1.025,1,1.29826064999997,0
256,275,2,1,4,1,0.975,2,1.01256087399997,1
257,312,2,4,4,2,0.5,1,1.42807292899988,0
258,257,2,1,4,1,0.925,1,1.17292380699996,0
259,278,2,2,4,2,1.075,2,1.10176951500011,1
260,263,2,1,4,1,0.95,2,1.15739878900013,1
261,308,2,3,4,2,1.5,2,1.20741211299992,1
262,274,2,2,4,2,1.05,1,1.32061125500013,0
263,313,2,4,4,1,0.5,1,1.26185992500018,0
264,251,2,1,4,1,0.99,2,1.43906109,1
265,252,2,2,4,2,1.01,2,1.25490848799996,1
266,290,2,2,4,2,0.75,1,1.03158578900002,0
267,291,2,1,4,1,0.925,1,1.60388250400001,0
268,298,2,2,4,2,0.8,1,1.516102284,0
269,303,2,3,4,1,1.5,2,1.26509529800001,1
270,271,2,1,4,1,0.95,2,1.44101373399985,1
271,268,2,2,4,2,0.825,1,1.344219651,0
272,253,2,1,4,1,0.925,1,1.51612826299993,0
273,282,2,2,4,2,1.25,2,1.37599319100013,1
274,307,2,3,4,1,1.5,2,1.364135089,1
275,247,2,1,4,1,0.95,1,1.38197787700005,0
276,279,2,1,4,1,1.01,2,1.32237627600011,1
277,258,2,2,4,2,0.9,1,1.22606564500006,0
278,310,2,3,4,2,1.5,2,1.14769457200009,1
279,241,2,1,4,1,0.975,2,1.34506580199991,1
280,304,2,3,4,2,1.5,2,1.18808604299988,1
281,320,2,4,4,2,0.5,1,1.17290425200008,0
282,314,2,4,4,2,0.5,1,1.26358706899987,0
283,264,2,2,4,2,1.05,2,1.05615481199993,1
284,306,2,3,4,2,1.5,2,1.09556576699993,1
285,280,2,2,4,2,0.85,1,1.07784208600015,0
286,284,2,2,4,2,1.2,2,1.18125756099994,1
287,294,2,2,4,2,1.01,1,1.23793223499979,0
288,319,2,4,4,1,0.5,1,1.3224874519999,0
289,315,2,4,4,1,0.5,1,1.11446188599984,0
290,293,2,1,4,1,0.925,1,1.16731181499995,0
291,285,2,1,4,1,0.95,2,1.37990264399991,1
292,255,2,1,4,1,0.95,2,1.21259196900019,1
293,286,2,2,4,2,1.025,2,1.18998098799989,1
294,309,2,3,4,1,1.5,2,1.03958832399985,1
295,299,2,1,4,1,0.95,2,1.09500217000004,1
296,301,2,3,4,1,1.5,2,1.29278273199998,1
297,297,2,1,4,1,0.95,2,1.2040308940002,1
298,295,2,1,4,1,0.925,2,1.17515139199986,1
299,250,2,2,4,2,0.875,1,1.06797103400004,0
300,256,2,2,4,2,1.175,2,1.00902715899997,1
301,276,2,2,4,2,0.95,1,1.05480640199994,0
302,262,2,2,4,2,1.05,1,1.01153817000022,0
303,243,2,1,4,1,0.925,2,1.11153385900002,1
304,277,2,1,4,1,0.85,1,1.29268179299993,0
305,260,2,2,4,2,1.15,2,1.09882453499995,1
306,283,2,1,4,1,0.875,1,1.43265582599997,0
307,287,2,1,4,1,0.9,1,1.2813520640002,0
308,269,2,1,4,1,0.9,2,1.6705117460001,1
309,245,2,1,4,1,0.825,1,1.06248493299995,0
310,318,2,4,4,2,0.5,1,1.32360018000008,0
311,272,2,2,4,2,0.99,2,1.22564904600017,1
312,261,2,1,4,1,0.85,1,1.01728448199992,0
313,242,2,2,4,2,0.925,1,1.12973097700001,0
314,292,2,2,4,2,1.15,2,1.14959565300001,1
315,317,2,4,4,1,0.5,2,1.21970750699984,1
316,288,2,2,4,2,0.95,1,1.0347204279999,0
317,281,2,1,4,1,0.875,1,1.33892205400002,0
318,311,2,4,4,1,0.5,1,1.03956244999995,0
319,270,2,2,4,2,0.975,1,1.2939227060001,0
320,316,2,4,4,2,0.5,1,1.33383198399997,0
