PresOrder,TrialNumber,Background,StairNum,BlockNum,PerspNum,CurrSize,Response,ReactionTIme,Stair_Update
149,114,1,2,2,2,1.35,2,1.64093391400002,1
150,118,1,2,2,2,1.3,1,1.01206854500015,0
151,117,1,1,2,1,1.25,2,1.9947139169999,1
152,87,1,1,2,1,0.99,1,1.01819715999954,0
153,136,1,2,2,2,0.875,1,1.18901084499976,0
154,159,1,4,2,1,0.5,1,1.23056132799957,0
155,158,1,4,2,2,0.5,1,1.18912178400024,0
156,124,1,2,2,2,1.45,2,1.11964155499936,1
157,156,1,4,2,2,0.5,1,1.02032705999954,0
158,142,1,3,2,2,1.5,2,1.00686689699978,1
159,144,1,3,2,2,1.5,2,1.44817510199937,1
160,128,1,2,2,2,1.4,2,1.20601060899935,1
161,175,2,1,3,1,0.99,2,1.0473985030003,1
162,187,2,1,3,1,0.75,1,1.02992326099957,0
163,185,2,1,3,1,0.9,1,1.00805964899973,0
164,189,2,1,3,1,0.975,2,1.01483210100014,1
165,200,2,2,3,2,0.99,2,1.29327818599995,1
166,222,2,3,3,2,1.5,2,1.01439684599973,1
167,163,2,1,3,1,0.925,1,1.01011693400051,0
168,194,2,2,3,2,0.75,1,1.00998165300007,0
169,184,2,2,3,2,0.9,1,1.12808449800013,0
170,217,2,1,3,1,0.95,2,1.02869672599991,1
171,186,2,2,3,2,0.975,1,1.04696611300005,0
172,209,2,1,3,1,0.925,2,1.03911503600011,1
173,195,2,1,3,1,0.875,1,1.01922635099982,0
174,231,2,4,3,1,0.5,1,1.38484910499938,0
175,220,2,2,3,2,1.1,2,1.00806262900005,1
176,190,2,2,3,2,1.01,1,1.01580475799983,0
177,237,2,4,3,1,0.5,1,1.00915812800031,0
178,203,2,1,3,1,0.925,2,1.14006742799938,1
179,204,2,2,3,2,1.05,2,1.15199216300061,1
180,196,2,2,3,2,1.01,2,1.37219147300038,1
181,207,2,1,3,1,0.9,1,1.00786982699992,0
182,168,2,2,3,2,0.925,1,1.37483509100002,0
183,169,2,1,3,1,0.95,2,1.21054317800008,1
184,227,2,3,3,1,1.5,2,1.09926649699992,1
185,202,2,2,3,2,1.1,2,1.20893728600004,1
