PresOrder,TrialNumber,Background,StairNum,BlockNum,PerspNum,CurrSize,Response,ReactionTIme,Stair_Update
1,19,2,1,1,1,0.99,2,1.74115585499385,1
2,70,2,3,1,2,1.5,2,1.93473506899318,1
3,8,2,2,1,2,0.99,1,1.62052967499767,0
4,72,2,4,1,2,0.5,1,1.75892387100612,0
5,44,2,2,1,2,1.2,2,1.45545342299738,1
6,22,2,2,1,2,1.1,1,1.53266023300239,0
7,53,2,1,1,1,0.75,1,1.52219434900326,0
8,11,2,1,1,1,0.9,2,1.62908009700186,1
9,9,2,1,1,1,0.825,1,1.62863567899331,0
10,10,2,2,1,2,1.15,2,1.61319640000875,1
11,27,2,1,1,1,0.875,1,1.78971857900615,0
12,60,2,2,1,2,1.125,2,1.70369508500153,1
13,77,2,4,1,1,0.5,1,1.7357449830015,0
14,40,2,2,1,2,1.1,2,1.58526672200242,1
15,55,2,1,1,1,0.9,2,1.53536651500326,1
16,79,2,4,1,1,0.5,1,1.60621090501081,0
17,73,2,4,1,1,0.5,1,1.52825925199431,0
18,76,2,4,1,2,0.5,1,1.63587890299095,0
19,58,2,2,1,2,1.025,2,1.75470729600056,1
20,17,2,1,1,1,0.875,2,1.92556699700071,1
21,34,2,2,1,2,0.9,1,1.68145880999509,0
22,28,2,2,1,2,0.975,1,1.7699314019992,0
23,36,2,2,1,2,1.01,2,1.7978575520101,1
24,56,2,2,1,2,0.975,1,1.77861478600244,0
25,2,2,2,1,2,1.01,2,1.58029042300768,1
26,5,2,1,1,1,0.85,1,1.90204826099216,0
27,78,2,4,1,2,0.5,1,1.74826097300684,0
28,42,2,2,1,2,0.99,2,1.575699523004,1
29,61,2,3,1,1,1.5,2,1.62426444501034,1
30,16,2,2,1,2,0.95,1,1.60177913299412,0
31,45,2,1,1,1,0.9,1,1.63524972701271,0
32,67,2,3,1,1,1.5,2,1.58192614700238,1
33,74,2,4,1,2,0.5,1,1.88404097298917,0
34,25,2,1,1,1,1.1,2,1.60904025701166,1
35,39,2,1,1,1,1.075,2,1.64252234798914,1
36,50,2,2,1,2,0.975,2,1.60854876300436,1
37,14,2,2,1,2,0.8,1,1.72175119699386,0
38,3,2,1,1,1,1.05,2,1.48653373600973,1
39,41,2,1,1,1,0.75,1,1.64493045299605,0
40,69,2,3,1,1,1.5,2,1.63803431700217,1
41,62,2,3,1,2,1.5,2,1.78322665700398,1
42,12,2,2,1,2,0.8,1,1.6519151419925,0
43,33,2,1,1,1,0.925,1,1.66849736399308,0
44,75,2,4,1,1,0.5,1,1.5065179719968,0
45,46,2,2,1,2,0.85,1,1.13704599199991,0
46,21,2,1,1,1,1.125,2,1.59552554901165,1
47,31,2,1,1,1,1.1,2,1.61332938799751,1
48,43,2,1,1,1,0.75,1,2.03132679600094,0
49,18,2,2,1,2,1.05,1,1.6136646560044,0
50,4,2,2,1,2,1.3,2,1.63738197801285,1
51,63,2,3,1,1,1.5,2,1.52169196899922,1
52,52,2,2,1,2,0.75,1,1.6019547820033,0
53,24,2,2,1,2,1.25,2,1.66879979000078,1
54,68,2,3,1,2,1.5,2,1.69881914599682,1
55,32,2,2,1,2,1.2,2,1.46318310899369,1
56,48,2,2,1,2,0.85,1,1.57428649599024,0
57,57,2,1,1,1,0.95,1,1.68840039499628,0
58,23,2,1,1,1,1.1,2,1.55074675499054,1
59,30,2,2,1,2,1.025,2,1.5553240129957,1
60,7,2,1,1,1,0.95,1,1.46320598501188,0
61,35,2,1,1,1,0.975,2,1.52359283599071,1
62,1,2,1,1,1,0.95,1,1.54977279399463,0
63,49,2,1,1,1,0.95,1,1.73114631099452,0
64,64,2,3,1,2,1.5,2,1.63108972601185,1
65,54,2,2,1,2,1.01,1,1.49591560600675,0
66,80,2,4,1,2,0.5,1,1.54070323499036,0
67,59,2,1,1,1,0.95,2,2.39978966099443,1
68,37,2,1,1,1,1.15,2,1.36302191900904,1
69,20,2,2,1,2,1.15,2,1.63492470300116,1
70,71,2,4,1,1,0.5,1,1.6323036429967,0
71,29,2,1,1,1,0.8,1,1.65071195999917,0
72,51,2,1,1,1,0.95,2,1.48192743399704,1
73,65,2,3,1,1,1.5,2,1.6024069099949,1
74,15,2,1,1,1,0.8,1,1.6574731550063,0
75,47,2,1,1,1,1.05,2,1.44781896400673,1
76,38,2,2,1,2,0.875,1,1.6643608299928,0
77,6,2,2,1,2,1.075,2,1.64704660300049,1
78,13,2,1,1,1,0.85,1,1.41583035700023,0
79,66,2,3,1,2,1.5,2,1.51069302399992,1
80,26,2,2,1,2,1.05,2,1.74747431500873,1
81,129,1,1,2,1,0.99,1,1.52617807099887,0
82,144,1,3,2,2,1.5,2,1.62944060600421,1
83,132,1,2,2,2,0.99,1,1.62107624500641,0
84,93,1,1,2,1,1.2,2,1.70256632800738,1
85,126,1,2,2,2,1.2,2,1.62169537298905,1
86,104,1,2,2,2,1.1,2,1.60719460400287,1
87,87,1,1,2,1,1.1,2,1.62622446999012,1
88,137,1,1,2,1,1.025,1,1.7965218090103,0
89,150,1,3,2,2,1.5,2,1.75629152399779,1
90,134,1,2,2,2,1.025,1,1.65498081600526,0
91,117,1,1,2,1,1.05,1,1.59006488100567,0
92,96,1,2,2,2,1.05,1,1.77527636400191,0
93,92,1,2,2,2,1.075,1,2.01167030500073,0
94,103,1,1,2,1,1.075,1,1.78162475299905,0
95,119,1,1,2,1,1.1,2,1.47651233400393,1
96,158,1,4,2,2,0.5,1,1.52999543098849,0
97,130,1,2,2,2,1.1,1,1.43961284699617,0
98,113,1,1,2,1,1.075,1,1.5745282870048,0
99,153,1,4,2,1,0.5,1,1.48211101899506,0
100,124,1,2,2,2,1.15,1,1.72017193000647,0
101,156,1,4,2,2,0.5,1,1.43648137700802,0
102,140,1,2,2,2,1.2,2,1.56476328299323,1
103,141,1,3,2,1,1.5,2,1.76013692800188,1
104,128,1,2,2,2,1.175,1,1.6488251210103,0
105,98,1,2,2,2,1.2,1,1.66786964799394,0
106,82,1,2,2,2,1.3,1,1.60696031199768,0
107,89,1,1,2,1,1.1,1,1.75120878001326,0
108,86,1,2,2,2,0.875,1,1.43424739100737,0
109,120,1,2,2,2,0.9,1,1.59340975400119,0
110,138,1,2,2,2,1.4,1,1.66048907999357,0
111,112,1,2,2,2,0.925,1,1.61125838699809,0
112,151,1,4,2,1,0.5,1,1.33397079100541,0
113,157,1,4,2,1,0.5,1,1.40257856799872,0
114,105,1,1,2,1,1.125,1,1.6891463209904,0
