TrialNumber,SpeedUpTimeCalc,TrialStart,SpeedUpTimeAct,ReactionTime
1,2.53669394015883,24.5948854279704,2.48363355104811,0.466595317935571
2,2.18480406487321,30.3783067180775,2.13346801209264,0.483244908391498
3,0.99645206037258,35.7025915264385,0.975622625672258,NaN
4,2.46777521356001,40.0020509093301,0,NaN
5,2.76398385125559,0,0,0
6,1.58104028722373,0,0,0
7,2.95222351074216,0,0,0
8,2.94304951011449,0,0,0
9,1.71882325537837,0,0,0
10,1.14306902049427,0,0,0
11,1.28005358041408,0,0,0
12,2.610314166942,0,0,0
13,1.17688372061554,0,0,0
14,1.15453115483389,0,0,0
15,0.863313290445365,0,0,0
16,2.84033681119756,0,0,0
17,0.937680655860608,0,0,0
18,2.74477844009103,0,0,0
19,1.13069056645477,0,0,0
20,1.77982267136456,0,0,0
21,2.6307465190897,0,0,0
22,1.34157019790853,0,0,0
23,1.15330721203416,0,0,0
24,2.36886707201064,0,0,0
25,0.854350208069386,0,0,0
26,2.56747914486514,0,0,0
27,2.31387417270945,0,0,0
28,1.64653843923085,0,0,0
29,2.11455578821061,0,0,0
30,2.34505003916568,0,0,0
31,2.28726575219762,0,0,0
32,1.62695848001476,0,0,0
33,1.79420338707889,0,0,0
34,2.94802997274957,0,0,0
35,2.01953593444616,0,0,0
36,1.39511261285195,0,0,0
37,2.19128765991898,0,0,0
38,1.39435323453409,0,0,0
39,2.9724071861866,0,0,0
40,2.80304274008666,0,0,0
41,1.25996004645928,0,0,0
42,0.846588168017331,0,0,0
43,1.64400518064763,0,0,0
44,2.19875831687771,0,0,0
45,2.93574649034474,0,0,0
46,2.6182587777731,0,0,0
47,2.61104213539436,0,0,0
48,2.44972523021485,0,0,0
49,1.52532678136021,0,0,0
50,2.95760970685349,0,0,0
51,1.43055152017035,0,0,0
52,1.10999848460354,0,0,0
53,1.69575441595428,0,0,0
54,1.46857347979079,0,0,0
55,1.03220633630926,0,0,0
56,0.923265526306394,0,0,0
57,1.01300317565398,0,0,0
58,2.96112649168509,0,0,0
59,1.50395180219845,0,0,0
60,2.25388744678626,0,0,0
61,2.13868187173825,0,0,0
62,2.96907669148682,0,0,0
63,2.41035012248702,0,0,0
64,1.99314599642993,0,0,0
65,2.50804088386244,0,0,0
66,2.5954823033774,0,0,0
