TrialNumber,SpeedUpTimeCalc,TrialStart,SpeedUpTimeAct,ReactionTime
1,2.0813087009898,4.95988453066457,2.03674673567366,NaN
2,2.28182574224282,10.3077964923141,2.23852425409132,NaN
3,1.17542684324563,15.7570961872843,1.15585141516931,NaN
4,1.34009939065721,20.1370381892266,1.30912982135487,NaN
5,1.79015967289939,24.7178103904262,1.7446268098065,NaN
6,2.32862293014628,29.7757952783904,2.28686357755214,NaN
7,1.38228839152095,35.2881998331286,1.35742173496328,NaN
8,0.797878533158334,39.824649671893,0.787530973706453,NaN
9,2.26262115637992,43.9202200402651,0,NaN
10,1.05101399540113,0,0,0
11,2.37509736140998,0,0,0
12,2.67454621516783,0,0,0
13,2.49988476054666,0,0,0
14,1.9518521251653,0,0,0
15,1.0182825395381,0,0,0
16,2.22490305033805,0,0,0
17,2.20734841996444,0,0,0
18,0.825118005295251,0,0,0
19,2.622805010807,0,0,0
20,1.38327589166569,0,0,0
21,2.32248880851107,0,0,0
22,2.54906466499766,0,0,0
23,1.72288497132033,0,0,0
24,2.86091249739349,0,0,0
25,1.59173523289162,0,0,0
26,2.83358045375493,0,0,0
27,2.23902620200208,0,0,0
28,2.51226522595328,0,0,0
29,2.43177894718738,0,0,0
30,1.22261232072434,0,0,0
31,2.6096435929199,0,0,0
32,1.83215707220775,0,0,0
33,1.83431299397736,0,0,0
34,2.82956223400245,0,0,0
35,2.63034296570433,0,0,0
36,0.823455763243855,0,0,0
37,1.28715086708836,0,0,0
38,2.35058467966762,0,0,0
39,2.33876796295097,0,0,0
40,1.1953394228351,0,0,0
41,1.34591809776099,0,0,0
42,1.69575368341334,0,0,0
43,2.28363363686784,0,0,0
44,1.65345678478865,0,0,0
45,1.62142175314896,0,0,0
46,1.99444139560277,0,0,0
47,1.72633698164061,0,0,0
48,0.848195830250658,0,0,0
49,1.38189512927569,0,0,0
50,1.94657573830682,0,0,0
51,2.5162650047189,0,0,0
52,1.93301036869803,0,0,0
53,2.30660437756981,0,0,0
54,1.40911128549696,0,0,0
55,1.01475198973011,0,0,0
56,1.38371150108409,0,0,0
57,2.79550399054468,0,0,0
58,1.75517806682697,0,0,0
59,2.90681740641501,0,0,0
60,2.39609707106156,0,0,0
61,1.38588771160329,0,0,0
62,1.84974726172029,0,0,0
63,1.7894413154063,0,0,0
