block	time	key
0	1.18629813194	left
0	5.90623903275	right
0	13.8638150692	right
0	14.5476131439	left
0	20.7690951824	right
0	27.2079751492	right
0	31.0786321163	left
0	36.1159090996	left
0	36.9328651428	right
0	39.1350200176	left
0	41.2535171509	right
0	44.1897900105	left
0	48.6432621479	right
0	50.6792252064	left
0	53.8977630138	right
0	57.2679231167	right
0	60.2697601318	left
0	65.0416071415	right
0	70.2793631554	right
0	74.4656071663	left
0	80.8540751934	right
0	85.2415599823	left
0	88.8779380322	right
0	97.9530060291	left
0	102.639911175	right
0	106.643023014	left
0	109.279373169	right
0	113.066203117	left
0	116.936058998	left
0	118.53731513	right
1	1.899766922	left
1	4.58471107483	right
1	7.67053890228	left
1	16.4789340496	right
1	19.5817940235	left
1	26.2540280819	right
1	31.9581680298	left
1	39.0486810207	right
1	45.2536211014	right
1	49.240062952	left
1	52.5596330166	right
1	59.633177042	left
1	61.0675420761	right
1	64.7372920513	left
1	67.8560469151	right
1	72.4773890972	left
1	77.6809949875	right
1	80.8672640324	left
1	84.9048879147	right
1	88.8083488941	left
1	92.9945790768	right
1	96.0970659256	left
1	99.4168570042	right
1	102.503218889	left
1	106.540143967	right
1	112.178544998	right
1	114.813077927	left
2	3.095952034	left
2	7.31628012657	right
2	11.2532529831	left
2	14.923071146	right
2	19.0270249844	left
2	23.3642301559	right
2	28.7513930798	left
2	33.6230480671	right
2	37.6098501682	left
2	42.3966331482	right
2	46.9838621616	left
2	50.7539050579	right
2	53.4065029621	left
2	58.2101390362	right
2	64.2159850597	left
2	70.3545310497	right
2	74.874931097	left
2	77.8607611656	right
2	80.830053091	left
2	84.2496790886	right
2	88.6368820667	left
2	93.0241689682	right
2	98.1785299778	left
2	104.701059103	right
2	109.321470976	left
2	112.574284077	right
2	115.844002008	right
