block	time	key
0	1.08887386322	right
0	5.876983881	left
0	13.2488670349	right
0	21.6396660805	left
0	36.6700758934	left
0	41.056622982	right
0	49.7475750446	left
0	60.6730830669	left
0	73.3680379391	right
0	82.8261868954	left
0	95.8203029633	right
1	1.30153203011	left
1	20.3186678886	left
1	25.0892238617	right
1	36.0653059483	right
1	37.6492528915	left
1	56.3991088867	right
1	66.2404270172	left
1	91.8958630562	right
1	115.283416033	left
2	1.59388208389	right
2	12.7361009121	right
2	25.4477980137	left
2	35.5891859531	right
2	51.8868350983	left
2	56.7244930267	left
2	67.0333960056	left
2	110.436831951	left
