block	time	key
0	4.63289189339	left
0	6.05093884468	right
0	8.18625998497	left
0	8.95403885841	right
0	9.82086205482	left
0	11.3721749783	right
0	12.2397170067	left
0	17.1112020016	right
0	18.6119198799	left
0	24.5838849545	right
0	26.4363138676	left
0	32.5073709488	right
0	35.2432558537	left
0	41.7488939762	right
0	42.516548872	left
0	46.219753027	right
0	48.4711210728	left
0	49.1551609039	right
0	61.8666379452	left
0	73.3595690727	right
0	86.5543839931	left
0	99.4493839741	right
0	118.065943003	left
1	1.64833593369	left
1	15.8104848862	right
1	27.2542989254	left
1	36.0778748989	right
1	45.8029510975	left
1	53.5771899223	right
1	63.0356879234	left
1	69.8741419315	right
1	75.6624209881	left
1	88.1065020561	right
1	102.736628056	left
1	114.380503893	right
2	1.5011651516	right
2	5.77140498161	left
2	20.23427701	right
2	45.306112051	left
2	66.0738699436	right
2	84.1908791065	left
2	96.050647974	right
2	109.478642941	left
