block	time	key
-1	1.97792410851	left
-1	4.01245999336	left
-1	6.39867305756	right
-1	8.39963912964	right
-1	10.3678660393	right
-1	12.5531229973	left
-1	14.522395134	left
-1	16.5074901581	left
-1	18.525837183	left
-1	21.3278911114	right
-1	23.3634550571	right
-1	25.6151430607	right
-1	27.7832670212	right
0	1.06798911095	right
0	2.90227508545	right
0	4.95509791374	left
0	7.15624594688	right
0	9.02520990372	right
0	11.3933560848	left
0	13.0284209251	left
0	15.180588007	left
0	17.2652490139	left
0	19.6349020004	left
0	21.7864630222	left
0	23.7215130329	right
0	25.9902338982	right
0	28.8096239567	right
0	30.5771279335	right
0	33.6808710098	left
0	36.2659459114	left
0	38.4838280678	left
0	41.5876889229	right
0	43.5050039291	left
0	45.2401740551	left
0	47.3085179329	right
0	49.3437690735	right
0	51.6128180027	right
0	53.5477080345	right
0	55.9499490261	right
0	58.1846430302	right
0	60.7548649311	left
0	63.1226799488	left
0	65.5581870079	left
0	67.6772909164	left
0	70.0293409824	left
0	72.2305970192	right
0	74.5828750134	right
0	77.8526239395	left
0	81.005439043	left
0	83.7584600449	left
0	86.8102149963	right
0	89.6627469063	right
0	92.4324450493	right
0	95.5516839027	right
0	98.0876030922	right
0	100.422986031	right
0	102.874780893	left
0	105.794086933	left
0	107.913110971	left
0	110.231823921	left
0	113.05032897	right
0	116.320532084	right
0	119.405972004	right
