block	time	key
-1	1.5339410305	right
-1	2.48444890976	right
-1	3.45242500305	right
-1	4.50274991989	right
-1	5.77034592628	right
-1	6.95500898361	right
-1	8.14014601707	right
-1	9.3739130497	right
-1	10.6757400036	left
-1	11.742855072	left
-1	12.7599480152	left
-1	13.7451879978	left
-1	14.6116089821	left
-1	15.4621379375	left
-1	16.4129738808	left
-1	17.3148589134	left
-1	18.1321320534	left
-1	18.9661438465	left
-1	19.9161369801	left
-1	20.8004498482	right
-1	21.7012059689	right
-1	22.6863100529	right
-1	23.5862550735	right
-1	24.5209980011	right
-1	25.304694891	right
-1	26.1554989815	right
-1	26.9900839329	right
-1	27.9066770077	right
-1	28.7079589367	right
-1	29.5254409313	right
0	0.742861032486	right
0	1.60964798927	right
0	2.54392194748	right
0	3.44465589523	right
0	4.29535794258	right
0	5.11316204071	right
0	5.91394209862	right
0	6.68132901192	right
0	7.43187689781	right
0	8.24936795235	right
0	9.08251810074	right
0	9.91638803482	right
0	10.7352159023	right
0	11.4180569649	left
0	12.1692559719	left
0	12.9532079697	left
0	13.7031390667	left
0	14.3877708912	left
0	15.1212921143	left
0	15.9057869911	left
0	16.7067298889	left
0	17.374119997	left
0	18.1235771179	left
0	18.8747060299	left
0	19.5252029896	left
0	20.2258241177	left
0	21.1272220612	right
0	21.9447000027	right
0	22.7446820736	right
0	23.4622750282	right
0	24.2131440639	right
0	24.9134049416	right
0	25.6646430492	right
0	26.2985799313	right
0	26.9988970757	right
0	27.7664070129	right
0	28.4660539627	right
0	29.1003010273	right
0	29.8342719078	right
0	30.4523289204	right
0	31.2185900211	right
0	31.8697500229	right
0	32.8042058945	left
0	33.5710959435	left
0	34.3211510181	left
0	35.05539608	left
0	35.6903219223	left
0	36.2900359631	left
0	37.0572710037	left
0	37.7253229618	left
0	38.525621891	left
0	39.1928551197	left
0	39.9427111149	left
0	40.7783091068	left
0	41.878084898	left
0	43.1966130733	left
0	44.1137669086	left
0	44.8977499008	left
0	45.2316720486	right
0	45.8321230412	right
0	46.4161291122	right
0	47.0834329128	right
0	48.0173249245	right
0	48.8674969673	right
0	49.8353910446	right
0	50.686371088	right
0	51.7707049847	left
0	52.7546260357	left
0	53.5386009216	left
0	54.3555679321	left
0	55.274089098	left
0	56.0906441212	left
0	57.3918230534	left
0	59.0273211002	right
0	59.7779691219	right
0	60.9285080433	left
0	61.9958469868	left
0	64.8983590603	left
0	65.7996029854	left
0	66.7171599865	left
0	67.718403101	left
0	68.7359769344	left
0	70.1036391258	left
0	71.1542599201	right
0	72.5392639637	right
0	73.3724551201	right
0	74.3402109146	right
0	75.2411100864	right
0	76.1756739616	right
0	77.326967001	right
0	78.3937189579	right
0	79.5781970024	right
0	80.1957969666	right
0	81.9473509789	left
0	83.2149200439	left
0	84.4989900589	left
0	85.634403944	left
0	86.7676239014	left
0	88.1028580666	left
0	89.2037029266	left
0	89.6035480499	right
0	90.5043280125	right
0	91.6893589497	right
0	93.0574109554	right
0	94.1908318996	left
0	95.2255868912	left
0	96.2602119446	left
0	97.0441730022	left
0	97.9443590641	left
0	98.9451041222	left
0	100.079355955	left
0	101.398096085	left
0	102.482460022	left
0	103.548877954	left
0	104.750910997	left
0	105.935544014	left
0	107.286422968	left
0	108.53730011	left
0	110.471880913	left
0	110.788877964	right
0	111.940212965	right
0	113.108366013	right
0	114.141782999	right
0	115.442939043	right
0	117.044269085	right
0	119.296912909	right
