block	time	key
0	1.03686213493	right
0	3.72224712372	left
0	6.75857615471	right
0	13.9318101406	left
0	15.4159259796	right
0	17.0172171593	left
0	19.6529960632	right
0	24.2405071259	left
0	28.9779169559	right
0	34.7836410999	left
0	40.6217851639	right
0	43.0571401119	left
0	44.1253490448	right
0	49.5127601624	left
0	56.7191710472	right
0	59.1216709614	right
0	61.8409290314	left
0	67.6627061367	right
0	70.3153209686	left
0	72.7671740055	right
0	79.4234101772	left
0	86.9798901081	right
0	93.3859159946	left
0	94.6528229713	right
0	98.4070279598	left
0	105.629258156	right
0	114.520341158	left
0	116.839774132	right
0	118.374135971	left
1	1.02411413193	right
1	3.67695403099	left
1	7.54669904709	right
1	10.1153781414	left
1	11.7675590515	right
1	15.436702013	left
1	17.5722429752	right
1	27.6811759472	left
1	33.0196011066	right
1	37.590075016	left
1	39.6586971283	right
1	46.1975820065	left
1	52.6197209358	right
1	54.3712489605	left
1	55.5059530735	right
1	56.823127985	left
1	58.0088710785	right
1	62.5621581078	left
1	63.5131449699	right
1	66.2653319836	left
1	69.6357300282	right
1	82.6795079708	left
1	85.8155901432	right
1	89.1521940231	left
1	93.1723611355	right
1	98.7939801216	left
1	102.815135002	right
1	105.850724936	left
1	109.654083014	right
1	115.675667048	left
1	117.260111094	right
1	118.561468124	left
2	1.91429615021	right
2	4.23346805573	left
2	7.5694899559	right
2	12.4069490433	left
2	15.2593159676	right
2	17.5112500191	left
2	20.8143539429	right
2	25.6687049866	left
2	30.2395291328	right
2	38.8145260811	left
2	39.1144530773	left
2	47.037471056	right
2	52.4254641533	left
2	57.6967380047	right
2	68.1061770916	left
2	71.509732008	right
2	75.9805450439	left
2	77.6982879639	right
2	83.4199790955	left
2	89.3755991459	right
2	94.0959830284	left
2	100.701810122	right
2	114.413990021	left
2	115.731761932	right
2	116.966259003	left
2	119.135478973	right
