block	time	key
0	2.61361598969	right
0	10.036616087	left
0	16.2253279686	right
0	25.8336830139	left
0	31.9268989563	right
0	56.5599961281	left
0	67.4521951675	right
0	83.699226141	left
0	89.5373871326	right
0	104.700337172	left
0	114.608772039	right
1	1.14149999619	right
1	5.59464597702	left
1	23.8274950981	right
1	33.6182770729	left
1	54.4866859913	right
1	57.7231450081	left
1	67.230232954	right
1	73.8195879459	left
1	84.6791379452	right
1	94.5865879059	left
1	105.062462091	right
1	119.524659872	left
2	1.15341091156	left
2	13.7961678505	right
2	17.8165359497	left
2	22.7378709316	right
2	30.2771718502	left
2	37.7343568802	right
2	46.007215023	left
2	52.680243969	right
2	59.9856638908	left
2	65.5902328491	right
2	96.5500259399	left
2	102.021333933	right
