CatchTime,CatchType,Accuracy,ResponseTime
2,2,1,0.013063283986412
4,2,1,0.0340319610550068
8,3,0,0
20,3,0,0
22,1,1,0.0417149729910307
24,4,0,0
36,4,0,0
40,2,1,0.0361620269832201
46,1,1,0.054632187995594
48,3,0,0
50,3,0,0
54,1,1,0.0948479110375047
56,3,0,0
60,2,1,0.0223779039806686
64,2,1,0.0279020530288108
80,2,1,0.0813834769651294
82,3,0,0
94,1,1,0.00407757103675976
98,4,0,0
100,4,0,0
110,1,1,0.0414449310046621
116,3,0,0
118,2,1,0.00402202398981899
122,4,0,0
126,4,0,0
130,4,0,0
136,3,0,0
140,3,0,0
142,4,0,0
176,2,0,0
186,1,1,0.108255926985294
208,2,1,0.0279380570282228
214,1,1,0.0149092599749565
220,4,0,0
222,1,1,0.0966189039754681
224,3,0,0
230,1,1,0.00398445699829608
234,4,0,0
238,1,1,0.0935279409750365
240,2,1,0.0909879159880802
