CatchTime,CatchType,Accuracy,ResponseTime
14,4,0,0
18,2,0,0
30,3,0,0
36,4,0,0
44,2,0,0
58,3,0,0
60,2,1,0.111203656997532
62,1,1,0.00612328993156552
70,1,0,0
72,4,0,0
86,1,1,0.0761783090420067
88,2,0,0
90,4,0,0
92,2,1,0.00403519696556032
102,3,0,0
104,4,0,0
112,3,0,0
132,1,1,0.0239268708974123
138,2,0,0
140,1,0,0
142,3,0,0
144,1,0,0
146,4,0,0
148,3,0,0
160,2,1,0.0769960280740634
162,4,0,0
164,4,0,0
166,3,0,0
172,3,0,0
194,4,0,0
198,4,0,0
200,2,0,0
202,1,1,0.0666791010880843
210,2,1,0.00610634998884052
212,3,0,0
216,1,0,0
224,1,0,0
236,1,1,0.0242037100251764
238,3,0,0
248,2,0,0
