CatchTime,CatchType,Accuracy,ResponseTime
4,2,0,0
6,4,0,0
10,2,1,0.00703429900022456
22,1,1,0.00614472100096464
26,1,1,0.0942516189988964
30,1,1,0.0505602619996353
32,4,0,0
40,3,0,0
42,2,1,0.0151833519994398
44,4,0,0
46,2,1,0.00613082699965162
52,4,0,0
54,3,0,0
58,3,0,0
60,1,1,0.00616413200077659
66,1,1,0.0156316090015025
72,3,0,0
80,4,0,0
94,1,1,0.0330748470005346
96,2,1,0.00617431300088356
128,1,1,0.0239640990002954
134,3,0,0
138,2,1,0.0770876149999822
144,4,0,0
168,3,0,0
170,3,0,0
176,1,1,0.0682617180009402
182,3,0,0
194,4,0,0
196,4,0,0
198,4,0,0
208,2,1,0.0947624569998879
210,2,0,0
212,3,0,0
214,2,1,0.0317419860002701
222,2,1,0.0237403330011148
234,4,0,0
236,1,1,0.0318525980001141
240,1,1,0.0406701290012279
248,3,0,0
