CatchTime,CatchType,Accuracy,ResponseTime
6,4,0,0
26,2,1,0.107117764651775
36,4,0,0
42,2,1,0.0237973788753152
50,1,1,0.0788195095956326
54,3,0,0
56,4,0,0
66,2,1,0.0685027493163943
68,1,1,0.0511590605601668
74,1,1,0.102286787703633
76,1,1,0.0324297193437815
82,1,1,0.0243957079946995
86,2,1,0.0508043188601732
92,1,1,0.0420155581086874
96,2,1,0.00639647617936134
98,2,1,0.0230898875743151
110,3,0,0
112,4,0,0
114,2,1,0.00611886661499739
116,3,0,0
120,1,1,0.0401686513796449
122,4,0,0
126,3,0,0
130,2,1,0.0967084849253297
150,1,1,0.0876338537782431
154,3,0,0
156,2,1,0.0605430146679282
162,3,0,0
172,3,0,0
180,2,1,0.0607951190322638
182,4,0,0
204,1,1,0.097217621281743
216,3,0,0
226,4,0,0
228,1,1,0.041100051254034
232,4,0,0
234,3,0,0
236,4,0,0
246,3,0,0
248,4,0,0
