CatchTime,CatchType,Accuracy,ResponseTime
12,4,0,0
16,1,1,0.0311417530756444
18,2,1,0.0603453309740871
20,4,0,0
36,1,1,0.00104474904946983
44,3,0,0
50,2,1,0.057373482035473
52,1,1,0.0439954029861838
54,4,0,0
56,3,0,0
60,2,1,0.0574060590006411
62,1,1,0.0172223257832229
64,1,1,0.0359436681028455
78,3,0,0
86,3,0,0
90,3,0,0
102,4,0,0
114,3,0,0
122,1,1,0.0680665071122348
124,4,0,0
142,2,1,0.0950936491135508
154,3,0,0
162,2,1,0.106144386110827
164,1,1,0.0226154681295156
166,2,1,0.102909839944914
168,1,1,0.0413336281199008
170,4,0,0
176,3,0,0
178,4,1,0.0413528450299054
184,2,1,0.0361418270040303
188,3,0,0
198,1,1,0.0411228679586202
200,3,0,0
208,1,1,0.0413777970243245
224,2,1,0.041320133022964
230,2,1,0.113528730114922
234,4,0,0
240,2,1,0.0065473651047796
244,4,0,0
248,4,0,0
