CatchTime,CatchType,Accuracy,ResponseTime
6,2,1,0.0212074529845268
8,1,1,0.0549771300284192
10,1,1,0.0359383330214769
20,3,0,0
24,1,1,0.0490987409721129
42,2,1,0.0491210929467343
48,4,0,0
52,4,0,0
54,4,0,0
68,3,0,0
76,2,1,0.0144994729780592
84,4,0,0
90,4,0,0
100,4,0,0
104,2,1,0.0568570859613828
110,2,1,0.11032192199491
118,1,1,0.00382390304002911
120,3,0,0
124,2,1,0.00109088502358645
134,1,1,0.0146743049845099
136,1,1,0.0573830700013787
150,4,0,0
156,1,1,0.0413697170442902
160,3,0,0
162,2,1,0.0359240289544687
164,4,0,0
168,1,1,0.0840820769662969
178,3,0,0
200,3,0,0
208,3,0,0
212,2,1,0.0949255280429497
216,3,0,0
220,2,1,0.0383937630103901
224,3,0,0
230,1,1,0.059957622026559
236,4,0,0
238,2,1,0.00102084298850968
240,4,0,0
242,3,0,0
248,1,1,0.0756456679664552
