Percept,Time,GratingPresented
0.0174363960013579,0,1
0.0595226100012951,0,2
0.0763347030006116,0,1
0.0831892830010474,0,2
0.0990887860007206,0,1
0.11546620000081,0,2
0.132464466001693,0,1
0.14883874500083,0,2
0.165501290000975,0,1
0.182272843001556,0,2
0.199113040000157,0,1
0.216379795001558,0,2
0.232489302999966,0,1
0.249696380000387,0,2
0.266627886001515,0,1
0.282342953001717,0,2
0.29911371200069,0,1
0.315708170001017,0,2
0.332454349001637,0,1
0.349490197000705,0,2
0.365796806001526,0,1
0.382472503000827,0,2
0.399109448000672,0,1
0.416637356000138,0,2
0.432540753001376,0,1
0.449202000001605,0,2
0.466612467000232,0,1
0.482445014000405,0,2
0.499109797001438,0,1
0.516636483000184,0,2
0.532479148001585,0,1
0.549300820001008,0,2
0.566667767001491,0,1
0.582542774000103,0,2
0.600205579999965,0,1
0.616535020000811,0,2
0.633600516001025,0,1
0.649359830000321,0,2
0.667066616000739,0,1
0.682737543000258,0,2
0.700260042000082,0,1
0.716078803001437,0,2
0.733441400001539,0,1
0.749488626001039,0,2
0.766887715000848,0,1
0.783059253000829,0,2
0.800343314000202,0,1
0.816689786001007,0,2
0.83357121500012,0,1
0.849532695001471,0,2
0.866939039000499,0,1
0.883635510001113,0,2
0.899757219000094,0,1
0.91628063600001,0,2
0.9335803390004,0,1
0.949524246001602,0,2
0.966961383001035,0,1
0.983515816000363,0,2
1.00025703600113,0,1
1.01635146600165,0,2
1.03301769900099,0,1
1.05067361900001,0,2
1.06692385300084,0,1
1.08308880300137,0,2
1.09978717900049,0,1
1.11652762300037,0,2
1.13312220300031,0,1
1.14981665900086,0,2
1.16698052900028,0,1
1.18366546900143,0,2
1.20027085400034,0,1
1.21669689400005,0,2
1.23326003700095,0,1
1.25061693300086,0,2
1.26688851300059,0,1
1.28329920300166,0,2
1.30049947600128,0,1
1.31655406200116,0,2
1.33321274900118,0,1
1.35042136700031,0,2
1.36760649900134,0,1
1.38337472600142,0,2
1.40067604200158,0,1
1.41656494900053,0,2
1.43341750300169,0,1
1.45010255300076,0,2
1.46673925300092,0,1
1.48343791000116,0,2
1.50016394600061,0,1
1.51772840100057,0,2
1.53402556900073,0,1
1.55120393900143,0,2
1.56684908600073,0,1
1.58353747600086,0,2
1.60019805900083,0,1
1.61768307900093,0,2
1.63386255300065,0,1
1.65024623500176,0,2
1.6676475940003,0,1
1.68356898599995,0,2
1.70032085300045,0,1
1.71757324700047,0,2
1.7335492630009,0,1
1.75036054300108,0,2
1.76758302800044,0,1
1.78358479900089,0,2
1.80031991500073,0,1
1.81705286300166,0,2
1.83375295900078,0,1
1.85044127900073,0,2
1.86710237600164,0,1
1.8838406290015,0,2
1.90055329500137,0,1
1.91716722300043,0,2
1.93384338900069,0,1
1.9506035580016,0,2
1.96724805000122,0,1
1.98471753900048,0,2
2.00061364400062,0,1
2.01791714800129,0,2
2.03473953900175,0,1
2.050573945,0,2
2.06777738000164,0,1
2.08457548300066,0,2
2.10049619800157,0,1
2.11722360900058,0,2
2.13452617300027,0,1
2.15077226800167,0,2
2.1682177370003,0,1
2.18443661200035,0,2
2.20060740600093,0,1
2.21742239300147,0,2
2.23412207300134,0,1
2.2508128870013,0,2
2.26818504600124,0,1
2.28435470300064,0,2
2.30143069300175,0,1
2.31773416300166,0,2
2.3342108830002,0,1
2.35175698900093,0,2
2.36757883200153,0,1
2.38426655600051,0,2
2.40172682299999,0,1
2.41767994300062,0,2
2.43431399800102,0,1
2.45145831900118,0,2
2.4676327490015,0,1
2.48437213600118,0,2
2.50161461600146,0,1
2.51762907900047,0,2
2.5344465520011,0,1
2.55179032600063,0,2
2.56780045800042,0,1
2.58444847300052,0,2
2.60109583300073,0,1
2.61804352800027,0,2
2.63430801700088,0,1
2.65117922600075,0,2
2.66772735800077,0,1
2.68479838800158,0,2
2.70181419600158,0,1
2.71795084000041,0,2
2.73461263200079,0,1
2.75146753300032,0,2
2.76762482600134,0,1
2.78511264400004,0,2
2.80166670800099,0,1
2.81859569300104,0,2
2.83495157000107,0,1
2.8516355110005,0,2
2.86860768900078,0,1
2.88462290900134,0,2
2.90160311399995,0,1
2.91803005900147,0,2
2.93468136000047,0,1
2.9515175860015,0,2
2.96811274600077,0,1
2.98478293600056,0,2
3.00149751900062,0,1
3.01833288300077,0,2
3.03481706000093,0,1
3.05146682300074,0,2
3.06800914300038,0,1
3.08475855100005,0,2
3.10160893600005,0,1
3.11815819900039,0,2
3.13530938700023,0,1
3.15180585000053,0,2
3.16879200900075,0,1
3.18473271000039,0,2
3.20151635700131,0,1
3.21810844600077,0,2
3.23576632100048,0,1
3.25154298100097,0,2
3.26859470600175,0,1
3.28479406100087,0,2
3.30167678500038,0,1
3.31910867900115,0,2
3.33569067999997,0,1
3.35151197600135,0,2
3.36850566900102,0,1
3.38593585900162,0,2
3.40183095900102,0,1
3.41930924600092,0,2
3.43520673600142,0,1
3.45252818800145,0,2
3.46865326300031,0,1
3.4860205060013,0,2
3.50195947900102,0,1
3.51932931600095,0,2
3.53580426300141,0,1
3.55263507600102,0,2
3.56865811000171,0,1
3.58588097700158,0,2
3.60261705200173,0,1
3.6191959000007,0,2
3.63581697100017,0,1
3.65266647900171,0,2
3.66868453300049,0,1
3.68589778300156,0,2
3.70265931700123,0,1
3.71928161200049,0,2
3.73518019500079,0,1
3.7525431590002,0,2
3.76869085900034,0,1
3.78601801800141,0,2
3.80218807600068,0,1
3.81937333900169,0,2
3.83576047900169,0,1
3.85219543700077,0,2
3.86971647700011,0,1
3.88548551300119,0,2
3.90284653300114,0,1
3.91927763300009,0,2
3.93571733900171,0,1
3.95234739900116,0,2
3.96866067300107,0,1
3.98631066900089,0,2
4.00218519900045,0,1
4.01964419900105,0,2
4.0356479180009,0,1
4.05244242500157,0,2
4.06972532300097,0,1
4.08604405900041,0,2
4.10250535700106,0,1
4.11952849600129,0,2
4.13563512300061,0,1
4.15258591900056,0,2
4.16917605600065,0,1
4.18668327300111,0,2
4.20259915900169,0,1
4.21929986600117,0,2
4.23591717300042,0,1
4.25257395500012,0,2
4.26994989300147,0,1
4.28574346999994,0,2
4.30263763000039,0,1
4.31913355400138,0,2
4.33663299800173,0,1
4.35242632200061,0,2
4.36994042900005,0,1
4.38617312800125,0,2
4.40248371200141,0,1
4.41966519800008,0,2
4.43597288599994,0,1
4.4526079060015,0,2
4.46937767100098,0,1
4.48660212300092,0,2
4.50258919000044,0,1
4.51940936300161,0,2
4.53607752000062,0,1
4.55264803600039,0,2
4.5695138630017,0,1
4.58630108300167,0,2
4.60292190500149,0,1
4.61960720300158,0,2
4.63626053100052,0,1
4.65300589900107,0,2
4.66965132500081,0,1
4.68685927600018,0,2
4.70270780800092,0,1
4.7197694990009,0,2
4.73685402700175,0,1
4.75270753900077,0,2
4.76988982600051,0,1
4.78645361600138,0,2
4.80273002600006,0,1
4.81979486900127,0,2
4.83649075100038,0,1
4.85274460900109,0,2
4.86969554900134,0,1
4.8865472790003,0,2
4.90318857300008,0,1
4.92026057000112,0,2
4.93647837800017,0,1
4.95325426900126,0,2
4.96994869000082,0,1
4.98657069300134,0,2
5.0033315690016,0,1
5.01997012200081,0,2
5.03663584900096,0,1
5.05389379300141,0,2
5.06995279900002,0,1
5.08699342100044,0,2
5.10388611600138,0,1
5.11997586600046,0,2
5.13676232300168,0,1
5.15392102900114,0,2
5.17089192800086,0,1
5.18700587300009,0,2
5.20347738300006,0,1
5.22091824000017,0,2
5.23677207600122,0,1
5.2538301730001,0,2
5.2702296690004,0,1
5.2877984200004,0,2
5.3038674390009,0,1
5.3202236290017,0,2
5.33721150300153,0,1
5.35427171900119,0,2
5.37043870300113,0,1
5.38692120100131,0,2
5.4037073160016,0,1
5.42033348600125,0,2
5.43718419900142,0,1
5.45368330600104,0,2
5.47055540300062,0,1
5.48789277300057,0,2
5.50382718600122,0,1
5.5204291830014,0,2
5.537891072001,0,1
5.55372983100096,0,2
5.57054437200168,0,1
5.5879318590014,0,2
5.60386126900084,0,1
5.62092552300055,0,2
5.6371733520009,0,1
5.65374545600025,0,2
5.670537633001,0,1
5.68724719600141,0,2
5.70380091700099,0,1
5.7206523090008,0,2
5.73720602700087,0,1
5.75396723300037,0,2
5.77051565700094,0,1
5.78712961100064,0,2
5.80400449300032,0,1
5.82076412400056,0,2
5.83791621199998,0,1
5.8549000790008,0,2
5.87175090700111,0,1
5.88788663300147,0,2
5.90404317499997,0,1
5.92076251900107,0,2
5.9379311290013,0,1
5.95488726600161,0,2
5.97181386600096,0,1
5.98749784600113,0,2
6.00491968900133,0,1
6.02078217300004,0,2
6.03830390800067,0,1
6.05476913100028,0,2
6.0716766530004,0,1
6.08760699300001,0,2
6.10504491300162,0,1
6.12094227400121,0,2
6.13833439600057,0,1
6.15429762300118,0,2
6.17161231600039,0,1
6.18792128600035,0,2
6.20506432900038,0,1
6.22199913300028,0,2
6.2384864450014,0,1
6.25493811900014,0,2
6.27165199299998,0,1
6.28790767900136,0,2
6.30451174100017,0,1
6.32190073900165,0,2
6.33824152900161,0,1
6.35492697100017,0,2
6.37168578199999,0,1
6.38775488800093,0,2
6.40509183900031,0,1
6.42176765500153,0,2
6.43826514900138,0,1
6.45458979600153,0,2
6.47132199100088,0,1
6.48796229300024,0,2
6.50465925900062,0,1
6.52131070300129,0,2
6.53847924900037,0,1
6.55462326300039,0,2
6.57190782500038,0,1
6.5880933590015,0,2
6.60477856600119,0,1
6.62199923600019,0,2
6.63829544300097,0,1
6.65479955600131,0,2
6.67133957900114,0,1
6.6889395420003,0,2
6.70551878300103,0,1
6.72196509700007,0,2
6.73827735000123,0,1
6.75522621900018,0,2
6.77170981400013,0,1
6.78823862300123,0,2
6.80482338800175,0,1
6.82163734100141,0,2
6.83828377300051,0,1
6.85496267100098,0,2
6.87171243300145,0,1
6.88831605600171,0,2
6.90501362600116,0,1
6.92167833200074,0,2
6.93839767900135,0,1
6.95509133500127,0,2
6.97202093200031,0,1
6.9890571620017,0,2
7.00510091600154,0,1
7.02228709400151,0,2
7.03847155600124,0,1
7.05515235200073,0,2
7.07180302300003,0,1
7.08882484200149,0,2
7.10517780600094,0,1
7.12193200800175,0,2
7.13855004600009,0,1
7.15521132600043,0,2
7.17180187500162,0,1
7.18895212800089,0,2
7.20573992400023,0,1
7.22184234600172,0,2
7.23866033900049,0,1
7.2553223140003,0,2
7.27219150800011,0,1
7.28862733999995,0,2
7.3053612190015,0,1
7.32214948900037,0,2
7.33872704200076,0,1
7.35600921200057,0,2
7.37252130900015,0,1
7.38865105200057,0,2
7.40570561599998,0,1
7.42296684200119,0,2
7.43886248900162,0,1
7.45548894600142,0,2
7.47204373200111,0,1
7.48882878900076,0,2
7.50599959900137,0,1
7.52297954400092,0,2
7.53888336700038,0,1
7.55557065200082,0,2
7.57286165900041,0,1
7.58896760800053,0,2
7.6056488660015,0,1
7.62227594200158,0,2
7.63898767900173,0,1
7.65567316600027,0,2
7.67236863200014,0,1
7.68955688200003,0,2
7.70600502800153,0,1
7.7224023480012,0,2
7.73906494200128,0,1
7.75572812600149,0,2
7.77262768400033,0,1
7.78954023400001,0,2
7.80586229900109,0,1
7.82249212600072,0,2
7.83998104200145,0,1
7.85589335900113,0,2
7.8725685190002,0,1
7.89002314400022,0,2
7.90587216900167,0,1
7.92282354600138,0,2
7.93987632500102,0,1
7.955798641,0,2
7.97263462900082,0,1
7.98954398600108,0,2
8.00600396200025,0,1
8.02284745500037,0,2
8.03934039200067,0,1
8.0562015580017,0,2
8.07273311600147,0,1
8.08955311300087,0,2
8.10607579500174,0,1
8.12292613700083,0,2
8.13942781600053,0,1
8.15672831800111,0,2
8.1730939730005,0,1
8.19011510000018,0,2
8.20664884000144,0,1
8.22283984200112,0,2
8.23956261200146,0,1
8.2569989700005,0,2
8.27289530200142,0,1
8.28956827900038,0,2
8.30699688900131,0,1
8.32341356400138,0,2
8.33949101899998,0,1
8.35637589700127,0,2
8.37356662500133,0,1
8.38954429500154,0,2
8.40637145200162,0,1
8.42290223200143,0,2
8.44003791200157,0,1
8.45621447000121,0,2
8.47322299600091,0,1
8.48946774800061,0,2
8.50704744900031,0,1
8.52293782900051,0,2
8.54002125200168,0,1
8.55620057300075,0,2
8.57289955300075,0,1
8.58956034200128,0,2
8.60709518100157,0,1
8.62287974500032,0,2
8.6400864010011,0,1
8.65634222500012,0,2
8.67292396800076,0,1
8.69070714900045,0,2
8.70660522500111,0,1
8.72293703900141,0,2
8.73991528600163,0,1
8.75628001500081,0,2
8.77390888100126,0,1
8.79085025600034,0,2
8.80672009500086,0,1
8.82405440500042,0,2
8.84005477400024,0,1
8.85731314800069,0,2
8.87336287200014,0,1
8.89069593800014,0,2
8.906939986,0,1
8.92408299900126,0,2
8.94011334500101,0,1
8.9573537590004,0,2
8.97413690200119,0,1
8.99041965200013,0,2
9.00696840199998,0,1
9.02344169200114,0,2
9.03992848500093,0,1
9.05654137300007,0,2
9.07404928700089,0,1
9.09086802500133,0,2
9.1069086510015,0,1
9.1241974780005,0,2
9.1409298890012,0,1
9.1570313760003,0,2
9.17375587200149,0,1
9.19044080200001,0,2
9.20737992900104,0,1
9.22382423800082,0,2
9.24039815200013,0,1
9.25712136300172,0,2
9.27386632900016,0,1
9.29048574700028,0,2
9.3071544150007,0,1
9.3237978240013,0,2
9.34066639299999,0,1
9.35757749200093,0,2
9.37412736200167,0,1
9.39052145200003,0,2
9.406948758,0,1
9.4239862250015,0,2
9.44059933800054,0,1
9.4569231280002,0,2
9.47393893900153,0,1
9.49046045500108,0,2
9.50697522800147,0,1
9.5239072100012,0,2
9.54072808199999,0,1
9.55810270200163,0,2
9.57395872200141,0,1
9.59078793200024,0,2
9.60745143900022,0,1
9.6239895510007,0,2
9.64045372200053,0,1
9.65748162500131,0,2
9.67392178200134,0,1
9.69085563700173,0,2
9.70751510500122,0,1
9.72423239800082,0,2
9.74096872300106,0,1
9.75756295500105,0,2
9.77423005800119,0,1
9.7912649280006,0,2
9.80734949200087,0,1
9.82445691800058,0,2
9.84163891200114,0,1
9.85797520300002,0,2
9.87400325300041,0,1
9.89165516200046,0,2
9.90814724800111,0,1
9.92401574900032,0,2
9.94099734800147,0,1
9.95817635500134,0,2
9.97438588700061,0,1
9.99135739700068,0,2
10.0081830920008,0,1
10.0244727920017,0,2
10.0419536090012,0,1
10.0578699120015,0,2
10.0745403820001,0,1
10.0912061860017,0,2
10.1079111570016,0,1
10.1245679550011,0,2
10.1420029850015,0,1
10.1579010180012,0,2
10.1751661490016,0,1
10.1912366500001,0,2
10.2079965920002,0,1
10.2253355420016,0,2
10.2414108020002,0,1
10.2579702870007,0,2
10.2752121420017,0,1
10.2913438080013,0,2
10.3079883910013,0,1
10.3251443440004,0,2
10.3414557180004,0,1
10.3579720450016,0,2
10.3751753280012,0,1
10.391488235,0,2
10.4085973160018,0,1
10.4248328880003,0,2
10.4421636360003,0,1
10.4583783530015,0,2
10.4752435760001,0,1
10.4914523610005,0,2
10.5082327120017,0,1
10.5249467470003,0,2
10.5419764520011,0,1
10.558276138001,0,2
10.5749570020016,0,1
10.5921467890003,0,2
10.6083215620001,0,1
10.6253769480008,0,2
10.6416685490003,0,1
10.6586392430017,0,2
10.6750248860008,0,1
10.6917664410012,0,2
10.7086246850013,0,1
10.7249934410011,0,2
10.7420027880016,0,1
10.7590788450016,0,2
10.775033064001,0,1
10.7918866380005,0,2
10.809135431,0,1
10.8261296680012,0,2
10.8419745980009,0,1
10.8589631300001,0,2
10.8761870480012,0,1
10.8919452220016,0,2
10.9086429920008,0,1
10.9261835380003,0,2
10.9419508950014,0,1
10.9586216250009,0,2
10.9753010140012,0,1
10.9924106860017,0,2
11.0086286280002,0,1
11.0261529980016,0,2
11.0419428070018,0,1
11.0591812890016,0,2
11.0752982680006,0,1
11.0923850520012,0,2
11.1086042170009,0,1
11.126155842001,0,2
11.1425784560015,0,1
11.1591252830003,0,2
11.1764648350018,0,1
11.1920479480013,0,2
11.209245348,0,1
11.2260474750001,0,2
11.2431478490016,0,1
11.258957815,0,2
11.2762252580014,0,1
11.2931474570014,0,2
11.3098340850011,0,1
11.3256098150014,0,2
11.3430724510017,0,1
11.3590668420002,0,2
11.3764605640008,0,1
11.3923770250003,0,2
11.4098407100009,0,1
11.4257614540002,0,2
11.4430224470016,0,1
11.4591019070012,0,2
11.4763747080015,0,1
11.4931970180005,0,2
11.5096771070002,0,1
11.5261757980006,0,2
11.5424842850007,0,1
11.5590425100017,0,2
11.5762485730011,0,1
11.5925513020011,0,2
11.6101673950016,0,1
11.6259460580004,0,2
11.6430286960003,0,1
11.6590726080012,0,2
11.6764207920005,0,1
11.6926577580016,0,2
11.7098708950016,0,1
11.7260298730016,0,2
11.7426855050016,0,1
11.7592093850017,0,2
11.7765035880002,0,1
11.7935592080012,0,2
11.8098329550012,0,1
11.8269129750006,0,2
11.8431957620014,0,1
11.8597871680013,0,2
11.876141177001,0,1
11.893712997,0,2
11.9098543580003,0,1
11.9265110160013,0,2
11.9428743280005,0,1
11.9598737230008,0,2
11.9760778250002,0,1
11.9930267950003,0,2
12.0102341840011,0,1
12.0265084220009,0,2
12.0430099450004,0,1
12.0599021140006,0,2
12.0761067080002,0,1
12.0936082880016,0,2
12.1097556830009,0,1
12.1266978290005,0,2
12.1431074150005,0,1
12.1604832470002,0,2
12.176449138,0,1
12.1936674360004,0,2
12.209789591001,0,1
12.2264990580006,0,2
12.2431537250013,0,1
12.25986672,0,2
12.2765513580016,0,1
12.2931967680015,0,2
12.3102483850016,0,1
12.327363118,0,2
12.3431937410005,0,1
12.3598888530014,0,2
12.3766301520009,0,1
12.3930919480008,0,2
12.4107936010005,0,1
12.4272260140006,0,2
12.4436993730014,0,1
12.4602335770014,0,2
12.477262372,0,1
12.4930820480004,0,2
12.5103512080004,0,1
12.5267019640014,0,2
12.5442718620016,0,1
12.5601120580013,0,2
12.5768450480009,0,1
12.5942670430013,0,2
12.6101117160015,0,1
12.6268501780014,0,2
12.6436711750011,0,1
12.6602690050004,0,2
12.6768901560008,0,1
12.693544922,0,2
12.7102026470002,0,1
12.7269077870005,0,2
12.7436412110001,0,1
12.7602512960002,0,2
12.7770279610013,0,1
12.7942877800015,0,2
12.810131866001,0,1
12.8272639380011,0,2
12.8436967480011,0,1
12.8600883860017,0,2
12.8770818820012,0,1
12.8935532710002,0,2
12.9101106220005,0,1
12.927921718001,0,2
12.944249866001,0,1
12.9612459340005,0,2
12.977183848001,0,1
12.9938667950009,0,2
13.0113053360001,0,1
13.0270832940005,0,2
13.0440676500002,0,1
13.0604896050008,0,2
13.0769648550013,0,1
13.0937864820007,0,2
13.1103952280009,0,1
13.1277579410016,0,2
13.1444784710002,0,1
13.1603980510008,0,2
13.1771623780005,0,1
13.1938757780008,0,2
13.2112308320011,0,1
13.227139908,0,2
13.2438456020009,0,1
13.2613042580015,0,2
13.2771408180015,0,1
13.2942659160017,0,2
13.3112453880003,0,1
13.327153092001,0,2
13.3438721840012,0,1
13.3612824170013,0,2
13.3771359530001,0,1
13.3939598680008,0,2
13.4115968650003,0,1
13.4276467600012,0,2
13.4449693990009,0,1
13.4616293180006,0,2
13.4782958560008,0,1
13.4942986920014,0,2
13.5116852480005,0,1
13.5276581230009,0,2
13.5449989780009,0,1
13.5617127450005,0,2
13.5783524160015,0,1
13.5943352520007,0,2
13.6113193750007,0,1
13.6276516520011,0,2
13.6450480550011,0,1
13.6613307650005,0,2
13.6777511510008,0,1
13.6951496200018,0,2
13.7115959810017,0,1
13.7282666370011,0,2
13.7449983780007,0,1
13.7610373080006,0,2
13.7783406590006,0,1
13.794528597,0,2
13.8116811080017,0,1
13.8276665580015,0,2
13.8450197970014,0,1
13.8617010010003,0,2
13.8779392180004,0,1
13.8951066120007,0,2
13.911701432,0,1
13.9276744150011,0,2
13.9448875770013,0,1
13.961048874,0,2
13.977786114001,0,1
13.995067459,0,2
14.011243717001,0,1
14.028820562,0,2
14.0444841560002,0,1
14.0618225910002,0,2
14.0787976620013,0,1
14.095011161,0,2
14.1119195650008,0,1
14.1288098220011,0,2
14.145311788001,0,1
14.1620003190001,0,2
14.1786913680007,0,1
14.1953627810017,0,2
14.2112560180012,0,1
14.2287940810002,0,2
14.245158148,0,1
14.2620944650007,0,2
14.2781373670005,0,1
14.2954361920001,0,2
14.3118597920002,0,1
14.328293808001,0,2
14.3450520440001,0,1
14.3616468280015,0,2
14.3784178450005,0,1
14.3955789420015,0,2
14.4118081220004,0,1
14.428252138001,0,2
14.445816296,0,1
14.462076486001,0,2
14.4783484850013,0,1
14.4949988780008,0,2
