Percept,Time,GratingPresented
0.0180459439998231,0,1
0.0331334699999388,0,2
0.0493733539997265,0,1
0.0670662339998671,0,2
0.0833241539999108,0,1
0.100423706999663,0,2
0.116371300000083,0,1
0.133343753999725,0,2
0.149899211000047,0,1
0.166351308999765,0,2
0.183453885999825,0,1
0.200185117999808,0,2
0.216408023999975,0,1
0.233324384999833,0,2
0.250216311999793,0,1
0.266985704000035,0,2
0.283587473999887,0,1
0.300246971999968,0,2
0.316902573999869,0,1
0.333520723999754,0,2
0.350422926999727,0,1
0.367028226999992,0,2
0.38359535499967,0,1
0.400512619999972,0,2
0.416322589999709,0,1
0.433307686999797,0,2
0.450436161999733,0,1
0.4674221639998,0,2
0.483229060999747,0,1
0.500281779000034,0,2
0.516963409999789,0,1
0.533331369999814,0,2
0.550226929000019,0,1
0.567429123999773,0,2
0.583257358000083,0,1
0.600227309999809,0,2
0.617470225000034,0,1
0.633527772999969,0,2
0.650247593999666,0,1
0.666851361999761,0,2
0.683563846999732,0,1
0.700502397000037,0,2
0.717487849999998,0,1
0.733608989000004,0,2
0.750541009999779,0,1
0.767489907999789,0,2
0.783345506999922,0,1
0.800448067999696,0,2
0.817572986999949,0,1
0.833524409999882,0,2
0.850455017000058,0,1
0.866816199999903,0,2
0.884527152999908,0,1
0.900084535999667,0,2
0.917536735999875,0,1
0.933457082999666,0,2
0.950216969999929,0,1
0.966913889999887,0,2
0.983537209999668,0,1
1.00020317500002,0,2
1.01754156800007,0,1
1.0335714769999,0,2
1.05036854699983,0,1
1.06745871599969,0,2
1.08456286799992,0,1
1.10017230199992,0,2
1.11746354699972,0,1
1.13448254400009,0,2
1.15039864299979,0,1
1.16753036999989,0,2
1.18453350299978,0,1
1.20043409799973,0,2
1.21748828599993,0,1
1.23445364899999,0,2
1.25140481199969,0,1
1.26785924899968,0,2
1.28451112999983,0,1
1.30134414999975,0,2
1.31792850400007,0,1
1.33466653400001,0,2
1.35058068999979,0,1
1.36794863999967,0,2
1.38467952099973,0,1
1.40057394299993,0,2
1.41756192999992,0,1
1.4345230949998,0,2
1.45054809299972,0,1
1.46738758399988,0,2
1.48457345799989,0,1
1.50164434699991,0,2
