Percept,Time,GratingPresented
0.00709290000122564,0,2
0.014004800001203,0,1
0.0209472000005917,0,2
0.0278942000004463,0,1
0.0348357000002579,0,2
0.0417840000009164,0,1
0.0486287000003358,0,2
0.0555693000005704,0,1
0.0626148999999714,0,2
0.0695596000005025,0,1
0.0765124000008655,0,2
0.083447700000761,0,1
0.0903928000006999,0,2
0.0973416000015277,0,1
0.104251800001293,0,2
0.111240500000349,0,1
0.118175800000245,0,2
0.125159100000019,0,1
0.132059400000799,0,2
0.139003200001753,0,1
0.14597490000051,0,2
0.152893899999981,0,1
0.159838100000343,0,2
0.166781900001297,0,1
0.173728400000982,0,2
0.180673200000456,0,1
0.187623000001622,0,2
0.19455840000046,0,1
0.201503500000399,0,2
0.208449600000677,0,1
0.215431399999943,0,2
0.222341100001358,0,1
0.229284000000916,0,2
0.236204400000133,0,1
0.243121900000915,0,2
0.250039200000174,0,1
0.25694250000015,0,2
0.264006200000949,0,1
0.270949700001438,0,2
0.277895400000489,0,1
0.284843200000978,0,2
0.291811100001723,0,1
0.298602900000333,0,2
0.305671699999948,0,1
0.312635300000693,0,2
0.31956050000008,0,1
0.326504500000738,0,2
0.333397000000332,0,1
0.340423999999985,0,2
0.347343400000682,0,1
0.354285600000367,0,2
0.361254300001747,0,1
0.368184400000246,0,2
0.375115300001198,0,1
0.382061800000884,0,2
0.389004300001034,0,1
0.395949400000973,0,2
0.402894100001504,0,1
0.409843600000386,0,2
0.416785900000832,0,1
0.423639900000126,0,2
0.430672200000117,0,1
0.437620300001072,0,2
0.444447800000489,0,1
0.451511500001288,0,2
0.458379400000922,0,1
0.465375700001459,0,2
0.472247800000332,0,1
0.479213100001289,0,2
0.486318799999935,0,1
0.493121700001211,0,2
0.50012020000031,0,1
0.507104600001185,0,2
0.514006300001711,0,1
0.5209519,0,2
0.527937700000621,0,1
0.534783100001732,0,2
0.541674700001749,0,1
0.548611200001687,0,2
0.555558400001246,0,1
0.562618700001622,0,2
0.569512300000497,0,1
0.576507500001753,0,2
0.583451800001058,0,1
0.590396999999939,0,2
0.597309600001608,0,1
0.604287000000113,0,2
0.611233400000856,0,1
0.618178600001556,0,2
0.625120000000607,0,1
0.632064200000968,0,2
0.639008000000103,0,1
0.645900200001051,0,2
0.652902100000574,0,1
0.659842200000639,0,2
0.666790000001129,0,1
0.673729600001025,0,2
0.680677000000287,0,1
0.687618400001156,0,2
0.694576200001393,0,1
0.701513400001204,0,2
0.708459100000255,0,1
0.715286600001491,0,2
0.72226750000118,0,1
0.729203700000653,0,2
0.736232500001279,0,1
0.743209300000672,0,2
0.750063700001192,0,1
0.757066400001349,0,2
0.764009900000019,0,1
0.770954000001439,0,2
0.777897300000404,0,1
0.784843900000851,0,2
0.79179650000151,0,1
0.798731000000771,0,2
0.805677800000922,0,1
0.812622200000988,0,2
0.81944360000125,0,1
0.826510300001246,0,2
0.833455400001185,0,1
0.840413000001718,0,2
0.847348600000259,0,1
0.854306000001088,0,2
0.861234600000898,0,1
0.868178500000795,0,2
0.875119199999972,0,1
0.882064600000376,0,2
0.889061500000025,0,1
0.895956600001227,0,2
0.902898700000151,0,1
0.909873000000516,0,2
0.916792600000917,0,1
0.923730800001067,0,2
0.930676600000879,0,1
0.937621000000945,0,2
0.944515400000455,0,1
0.951462000000902,0,2
0.9584530000011,0,1
0.965363100000104,0,2
0.972346200000175,0,1
0.979313900001216,0,2
0.986236800001279,0,1
0.993184400000246,0,2
1.00012300000162,0,1
1.00706640000135,0,2
1.01401310000074,0,1
1.02095720000034,0,2
1.02780620000158,0,1
1.03484320000098,0,2
1.04178920000049,0,1
1.04861660000097,0,2
1.05570360000092,0,1
1.06262130000141,0,2
1.06958080000004,0,1
1.07653380000011,0,2
1.08345450000161,0,1
1.09041109999998,0,2
1.09734700000081,0,1
1.10432960000071,0,2
1.11123610000141,0,1
1.11818310000126,0,2
1.12512349999997,0,1
1.13206740000169,0,2
1.13898270000027,0,1
1.14590620000126,0,2
1.15290280000045,0,1
1.1598455000003,0,2
1.16679160000058,0,1
1.17374380000001,0,2
1.18067820000033,0,1
1.18757570000162,0,2
1.19456870000067,0,1
1.20147480000014,0,2
1.20846100000017,0,1
1.21536710000146,0,2
1.22222820000025,0,1
1.22931550000067,0,2
1.23613930000101,0,1
1.24308080000083,0,2
1.25002480000148,0,1
1.25696760000028,0,2
1.26392230000056,0,1
1.2708461000002,0,2
1.27780480000001,0,1
1.28473680000025,0,2
1.29172580000159,0,1
1.29862630000025,0,2
1.30554920000031,0,1
1.31248360000063,0,2
1.31943490000049,0,1
1.3263848000006,0,2
1.33340870000029,0,1
1.34035730000141,0,2
