PresOrder,TrialNumber,Background,StairNum,BlockNum,PerspNum,CurrSize,Response,ReactionTIme,Stair_Update
208,233,1,4,3,1,0.5,1,1.04570297100145,0
209,183,1,1,3,1,0.95,1,1.20493331100079,0
210,184,1,2,3,2,1.125,1,1.02173978999781,0
211,236,1,4,3,2,0.5,1,1.01975855099954,0
212,195,1,1,3,1,0.95,1,1.20123041099941,0
213,228,1,3,3,2,1.5,2,1.10756480599957,1
214,167,1,1,3,1,0.975,1,1.29819198300174,0
215,214,1,2,3,2,1.3,2,1.03573849299937,1
216,164,1,2,3,2,1.25,2,1.01140290699914,1
217,175,1,1,3,1,0.99,2,1.2450207030015,1
218,201,1,1,3,1,0.99,1,1.06855522999831,0
219,193,1,1,3,1,1.15,2,1.76379096100209,1
220,172,1,2,3,2,0.975,1,1.23101018599846,0
221,213,1,1,3,1,1.125,2,1.27179785800035,1
222,209,1,1,3,1,1.1,2,1.25345418600045,1
223,225,1,3,3,1,1.5,2,1.09427011299704,1
224,181,1,1,3,1,0.875,1,1.01967158700063,0
225,232,1,4,3,2,0.5,1,1.13473999000053,0
226,231,1,4,3,1,0.5,1,1.0323054679975,0
227,177,1,1,3,1,0.99,2,1.21719320400007,1
228,197,1,1,3,1,0.95,1,1.04808414499712,0
229,182,1,2,3,2,1.175,2,1.13648675399963,1
230,221,1,3,3,1,1.5,2,1.07070017300066,1
231,207,1,1,3,1,0.975,1,1.01294575299835,0
232,191,1,1,3,1,1.01,2,1.15055268500146,1
233,235,1,4,3,1,0.5,1,1.02051377799944,0
234,190,1,2,3,2,1.15,2,1.02066709500286,1
235,180,1,2,3,2,1.125,1,1.27528999999777,0
236,229,1,3,3,1,1.5,2,1.03357060199778,1
237,170,1,2,3,2,1.175,2,1.15451342400047,1
238,200,1,2,3,2,1.175,2,1.26432533400293,1
239,174,1,2,3,2,1.05,1,1.10762777899799,0
240,192,1,2,3,2,1.15,2,1.24101844899997,1
241,266,2,2,4,2,0.99,2,1.01993170100104,1
242,312,2,4,4,2,0.5,1,1.25434334999954,0
243,318,2,4,4,2,0.5,1,1.10772190300122,0
244,246,2,2,4,2,0.75,1,1.22551569999996,0
245,273,2,1,4,1,0.99,2,1.15351386600014,1
246,305,2,3,4,1,1.5,2,1.02893581799799,1
247,257,2,1,4,1,0.75,1,1.01011545299843,0
248,288,2,2,4,2,0.9,1,1.23161011900083,0
249,260,2,2,4,2,0.975,1,1.0081114329987,0
250,253,2,1,4,1,0.9,1,1.03273079499922,0
251,300,2,2,4,2,1.1,2,1.11237469700063,1
252,274,2,2,4,2,1.01,1,1.15029172800132,0
253,307,2,3,4,1,1.5,2,1.11328208600025,1
254,304,2,3,4,2,1.5,2,1.05618006499935,1
255,258,2,2,4,2,1.05,1,1.01623064500018,0
256,254,2,2,4,2,1.125,2,1.05222274099651,1
257,282,2,2,4,2,1.075,1,1.26759817300263,0
258,270,2,2,4,2,1.125,2,1.02907400800177,1
259,287,2,1,4,1,0.975,2,1.01504803200078,1
260,284,2,2,4,2,1.1,2,1.04619160199945,1
261,316,2,4,4,2,0.5,1,1.11887249799838,0
262,294,2,2,4,2,1.075,2,1.0362146860025,1
263,249,2,1,4,1,0.925,2,1.13285260500197,1
264,247,2,1,4,1,0.9,1,1.11208926700056,0
265,256,2,2,4,2,1.05,2,1.25490166300006,1
266,319,2,4,4,1,0.5,1,1.01970792599968,0
267,297,2,1,4,1,0.925,2,1.00696717499886,1
268,268,2,2,4,2,0.8,1,1.01560782500019,0
269,290,2,2,4,2,0.8,1,1.01318027099842,0
270,265,2,1,4,1,0.9,2,1.01226472499911,1
271,272,2,2,4,2,1.25,2,1.01165216600202,1
272,251,2,1,4,1,0.875,1,1.10694012599924,0
273,278,2,2,4,2,0.875,1,1.1198588399966,0
274,245,2,1,4,1,0.875,2,1.26870569599851,1
275,264,2,2,4,2,1.025,1,1.03566208499979,0
276,303,2,3,4,1,1.5,2,1.02027711900155,1
277,250,2,2,4,2,1.05,1,1.14021536700238,0
278,248,2,2,4,2,1.15,2,1.04129301500143,1
279,261,2,1,4,1,1.125,2,1.1383806820013,1
280,276,2,2,4,2,1.05,2,1.11096314699898,1
281,280,2,2,4,2,0.95,1,1.13517894300094,0
282,317,2,4,4,1,0.5,1,1.06668881899895,0
283,277,2,1,4,1,0.7,1,1.01095615600207,0
284,306,2,3,4,2,1.5,2,1.0777330000019,1
285,243,2,1,4,1,0.75,1,1.04349061099856,0
286,242,2,2,4,2,1.15,2,1.00812495500213,1
287,309,2,3,4,1,1.5,2,1.13291534000018,1
288,241,2,1,4,1,0.8,1,1.05040161900251,0
289,308,2,3,4,2,1.5,2,1.0883238100032,1
290,296,2,2,4,2,1.025,1,1.08789260099729,0
291,313,2,4,4,1,0.5,1,1.22221663200253,0
292,293,2,1,4,1,1.01,2,1.0067865969977,1
293,301,2,3,4,1,1.5,2,1.01536663200022,1
294,275,2,1,4,1,0.875,1,1.01446620500064,0
295,252,2,2,4,2,1.025,2,1.01031243699981,1
296,314,2,4,4,2,0.5,1,1.04251684599876,0
297,315,2,4,4,1,0.5,1,1.11371652299931,0
298,298,2,2,4,2,0.95,1,1.12774605999948,0
299,285,2,1,4,1,0.9,1,1.08459418300117,0
300,299,2,1,4,1,0.9,2,1.00713947699842,1
301,295,2,1,4,1,0.99,2,1.15557628299939,1
302,320,2,4,4,2,0.5,1,1.27035294899906,0
303,259,2,1,4,1,0.875,1,1.24618507899868,0
304,255,2,1,4,1,0.925,2,1.29979036499935,1
305,271,2,1,4,1,0.875,1,1.19731467300153,0
306,269,2,1,4,1,0.875,1,1.26801785399948,0
307,279,2,1,4,1,0.925,1,1.25702295999872,0
308,289,2,1,4,1,0.95,1,1.14524203899782,0
309,302,2,3,4,2,1.5,2,1.19780925000305,1
310,292,2,2,4,2,1.125,2,1.15188782000041,1
311,291,2,1,4,1,1.075,2,1.14843211600237,1
312,311,2,4,4,1,0.5,1,1.12764886800142,0
313,244,2,2,4,2,0.99,1,1.02870336099659,0
314,283,2,1,4,1,1.05,2,1.16458369199972,1
315,267,2,1,4,1,0.99,2,1.27987824299998,1
316,263,2,1,4,1,0.975,2,1.14932008799951,1
317,310,2,3,4,2,1.5,2,1.00906143199973,1
318,286,2,2,4,2,1.01,1,1.10593290699762,0
319,281,2,1,4,1,0.95,2,1.02332225000282,1
320,262,2,2,4,2,1.075,1,1.13609856299809,0
