PresOrder,TrialNumber,ShapeNoShape,StairNum,BlockNum,TargetPosition,TargetLuminance,Response,RespScreenOnset_to_Resp,ExpStartOnset_to_Resp,StimOnset_to_Resp,Accuracy,Stair_Update
1,70,2,1,1,2,1.65,1,0.718066499917768,1.78483160003088,1.46816070005298,1,1
2,62,2,1,1,2,1.65,1,0.277577399974689,1.44430540001485,1.02757999999449,1,1
3,79,1,2,1,1,1.65,2,0.000645900028757751,1.56734369997866,0.750708000035957,1,1
4,72,2,2,1,1,1.65,2,2.13188260002062,3.2819245000137,2.88195959990844,1,1
5,71,1,2,1,2,1.65,1,0.145520500023849,1.57884800003376,0.895549700013362,1,1
6,87,1,2,1,2,1.65,1,1.16297760000452,2.66302060009912,1.91305829992052,1,1
7,111,1,2,1,1,1.65,2,0.29518559994176,1.31205089995638,1.0455841999501,1,1
8,66,2,1,1,2,1.65,1,0.226458500023,1.52670719998423,0.976884899893776,1,1
9,50,2,1,1,1,1.65,2,0.0612564999610186,1.24462690006476,0.811294400016777,1,1
10,1,1,1,1,1,1.65,2,0.212442299933173,1.24580240005162,0.962491200072691,1,1
11,40,2,2,1,2,1.65,1,0.171871699974872,1.65522220009007,0.921910699922591,1,1
12,36,2,2,1,1,1.65,2,0.186275999993086,1.33619639999233,0.936332700075582,1,1
13,16,2,2,1,1,1.65,2,0.192559299990535,1.34253879997414,0.942593800020404,1,1
14,101,1,1,1,2,1.65,1,0.228637500084005,1.41203629993834,0.978636199957691,1,1
15,139,2,3,1,1,1.65,2,0.0459986999630928,1.46268600004259,0.796035300008953,1,1
16,76,2,2,1,1,1.65,2,0.202446399955079,1.71911369997542,0.952478699968196,1,1
17,108,2,2,1,2,1.65,1,0.256543900002725,1.38988489995245,1.00660149997566,1,1
18,21,1,1,1,2,1.65,1,0.208700500079431,1.22537939995527,0.958741599926725,1,1
19,117,1,1,1,1,1.65,2,0.0552025999641046,1.35520919994451,0.805243500042707,1,1
20,97,1,1,1,2,1.65,1,0.143606099998578,1.57695710007101,0.89364389993716,1,1
21,125,2,3,1,2,1.65,1,0.253534800023772,1.63687970000319,1.00356480001938,1,1
22,92,2,2,1,2,1.65,1,0.265496600070037,1.79884310008492,1.01553799991962,1,1
23,107,1,2,1,1,1.65,2,0.223370100022294,1.49000840005465,0.973349299980327,1,1
24,41,1,1,1,2,1.65,1,0.219048000057228,1.38571200007573,0.969063699943945,1,1
25,43,1,2,1,1,1.65,2,0.200880300020799,1.71756129991263,0.950911500025541,1,1
26,46,2,1,1,2,1.65,1,0.683003699989058,2.11628539999947,1.43301730009262,1,1
27,88,2,2,1,1,1.65,2,0.264196999953128,1.7309060000116,1.01425520004705,1,1
28,133,2,3,1,2,1.65,1,0.194606300094165,1.36129119992256,0.944654599996284,1,1
29,5,1,1,1,1,1.65,2,0.214894999982789,1.58150720002595,0.964885100023821,1,1
30,116,2,2,1,2,1.65,1,0.245765700004995,1.74576830002479,0.995800700038671,1,1
31,65,1,1,1,2,1.65,1,0.463085400057025,1.46312189998571,1.21312390000094,1,1
32,112,2,2,1,2,1.65,1,0.29399260005448,1.74399019998964,1.0440030999016,1,1
33,135,2,3,1,1,1.65,2,0.300096900085919,1.33347409998532,1.05010320001747,1,1
34,47,1,2,1,2,1.65,1,0.193352599977516,1.44341119995806,0.943397699971683,1,1
35,114,2,1,1,2,1.65,1,0.472000499954447,1.58868559997063,1.22203489998356,1,1
36,51,1,2,1,2,1.65,1,0.246843799948692,1.4802125999704,0.996889799949713,1,1
37,31,1,2,1,2,1.65,1,0.250715599977411,1.38405100000091,1.00075620005373,1,1
38,121,2,3,1,2,1.65,1,0.224151100032032,1.52411650004797,0.97419869992882,1,1
39,94,2,1,1,1,1.65,2,0.252592499949969,1.38595460006036,1.00262869999278,1,1
40,53,1,1,1,2,1.65,1,0.11750709998887,1.53414390003309,0.867542899912223,1,1
41,82,2,1,1,2,1.65,1,0.31288629991468,1.39621100004297,1.06293939996976,1,1
42,48,2,2,1,2,1.65,1,0.246376499999315,1.47973420005292,0.996258199913427,1,1
43,15,1,2,1,1,1.65,2,0.0923079000785947,1.575657300069,0.842300399905071,1,1
44,137,2,3,1,2,1.65,1,0.163008599891327,1.57970120001119,0.913054800010286,1,1
45,96,2,2,1,1,1.65,2,0.153684900025837,1.5037056999281,0.903726599994116,1,1
46,63,1,2,1,1,1.65,2,0.253012600005604,1.48636370000895,1.00306289992295,1,1
47,39,1,2,1,1,1.65,2,0.0591078998986632,1.54239560000133,0.809146299958229,1,1
48,113,1,1,1,1,1.65,2,0.197750199935399,1.34778770001139,0.947784500080161,1,1
