PresOrder,TrialNumber,ShapeNoShape,StairNum,BlockNum,TargetPosition,TargetLuminance,Response,RespScreenOnset_to_Resp,ExpStartOnset_to_Resp,StimOnset_to_Resp,Accuracy,Stair_Update
1,97,1,1,1,2,0.99,1,4.64491487521445,6.11718466033926,5.40886773966486,0,1
2,26,2,1,1,1,0.99,1,2.69316237111343,3.82515616028104,3.45710162067553,1,0
3,32,2,2,1,1,0.99,1,4.1014176752069,5.45559807267273,4.86533089668956,1,0
4,19,1,2,1,1,0.99,1,4.84378447267227,6.04518091160571,5.60074587108102,1,0
5,64,2,2,1,2,1.08,1,1.33450235286728,2.55000337603269,2.09881959343329,1,1
6,103,1,2,1,1,1.08,2,1.04001897521084,2.18587960494915,1.80394823639654,1,1
7,81,1,1,1,2,0.88,1,5.14363713964121,6.57419739587931,5.90748790989164,0,1
8,126,2,3,1,2,0.8,2,0.428484295029193,1.78961204714142,1.18546186119784,1,0
9,138,2,3,1,1,0.8,1,5.85639630741207,7.18972587271128,6.6202732330421,1,0
10,125,2,3,1,1,1.2,2,1.48301007936243,2.74692823144142,2.23998637852492,1,1
11,84,2,2,1,2,1.04,1,0.793316810799297,1.98081619251752,1.55719325790415,1,1
12,82,2,1,1,1,1.08,2,1.52798702649307,2.63220318598906,2.29194279748481,1,1
13,96,2,2,1,2,1.01,1,1.17903741658665,2.49848253797973,1.94292391161434,1,1
14,67,1,2,1,1,1.04,1,1.2605628107558,2.51056776032783,2.02445028180955,0,0
15,118,2,1,1,2,1.04,1,1.52251496945973,2.77251652063569,2.27942430664552,1,1
16,12,2,2,1,2,0.98,1,1.12333725788631,2.49834257271141,1.88722876447719,0,1
17,73,1,1,1,1,0.84,1,0.0459061826695688,1.46257609501481,0.809797710797284,1,0
18,3,1,2,1,1,1.06,2,0.45645820745267,1.74140760826413,1.22079178510467,1,1
19,131,2,3,1,2,0.8,2,0.941541849577334,2.30959644709947,1.70542760408716,1,0
20,63,1,2,1,1,1.04,2,0.368659704108723,1.81310621817829,1.13254471239634,1,1
21,35,1,2,1,1,1.02,2,1.59864191483939,3.00836402154528,2.36254004295915,1,1
22,136,2,3,1,2,0.8,2,0.583561739651486,1.9863387082587,1.34744751738617,1,0
23,31,1,2,1,2,1.01,2,0.931661087612156,2.00804597936803,1.69554944295669,0,0
24,106,2,1,1,1,1.01,2,1.44774388510268,2.44081429502694,2.20470392971765,1,1
25,121,2,3,1,1,0.8,1,0.408034054562449,1.63026714045554,1.17193980742013,1,0
