PresOrder,TrialNumber,ShapeNoShape,StairNum,BlockNum,TargetPosition,TargetLuminance,Response,RespScreenOnset_to_Resp,ExpStartOnset_to_Resp,StimOnset_to_Resp,Accuracy,Stair_Update
1,138,2,3,1,2,0.8,2,3.29347289999714,4.86195896501886,4.06110444996739,1,0
2,114,2,1,1,2,0.96,2,0.231513707491104,1.58266426500631,0.998504499963019,1,0
3,13,1,1,1,2,0.96,2,0.172498900035862,1.42396836495027,0.940059565007687,1,0
4,113,1,1,1,2,1.12,2,0.100712599989492,1.58589876501355,0.868426463799551,0,0
5,66,2,1,1,1,1.12,1,0.20552904997021,1.35672616498778,0.972234400047455,0,0
6,121,2,3,1,1,1.2,2,0.180158136237878,1.64811656496022,0.947391036257613,1,1
7,35,1,2,1,1,0.96,1,0.0567317912937142,1.60821226501139,0.823637499997858,1,0
8,5,1,1,1,2,1.16,2,0.271305299946107,1.28931006498169,1.03840499999933,0,0
9,64,2,2,1,2,0.96,2,1.21374179999111,2.23182456498034,1.98147056374,1,0
10,91,1,2,1,1,1.12,1,0.141126977512613,1.39233966497704,0.908367649943102,0,0
11,71,1,2,1,2,1.16,2,0.161301077518146,1.74605136498576,0.928539065003861,0,0
12,95,1,2,1,1,1.16,1,0.0385879999957979,1.59034516499378,0.806256149953697,0,0
13,100,2,2,1,1,1.12,2,0.114227399986703,1.43271462997654,0.88174832117511,1,1
14,134,2,3,1,2,0.8,2,0.0368088000104763,1.30518116499297,0.804561564989854,1,0
15,14,2,1,1,1,1.16,2,0.0665771350613795,1.1509760649642,0.833810365002137,1,1
16,2,2,1,1,2,1.12,2,0.0105679775006138,1.44532716501271,0.777470400033053,0,0
17,103,1,2,1,2,1.16,2,0.00417510623810813,1.52226246503415,0.77113189996453,0,0
18,46,2,1,1,1,1.16,2,0.0425080362474546,1.32734518620418,0.809359800012317,1,1
19,129,2,3,1,1,1.2,2,0.190806548751425,1.49205706495559,0.958010763744824,1,1
20,22,2,1,1,1,1.12,2,0.14623210002901,1.68135076499311,0.913966349966358,1,1
21,84,2,2,1,2,0.96,2,0.225259992526844,1.7767307649483,0.992498392530251,1,0
22,93,1,1,1,2,1.16,2,0.140671436209232,1.47522646503057,0.907922121172305,0,0
23,94,2,1,1,1,1.12,2,0.31770754995523,1.40209986496484,1.08493036497384,1,1
24,67,1,2,1,2,1.16,2,0.0603215649607591,1.62844496499747,0.82727910001995,0,0
25,83,1,2,1,1,1.16,1,0.0706505349953659,1.58900030120276,0.837891306262463,0,0
26,74,2,1,1,2,0.96,2,0.0933925000135787,1.51184346497757,0.86068320000777,1,0
27,37,1,1,1,1,1.16,1,0.170138299989048,1.40494386496721,0.937748907483183,0,0
28,60,2,2,1,1,1.12,1,0.176716907473747,1.7114207650302,0.94341040001018,0,0
29,111,1,2,1,1,1.16,1,0.140182107454166,1.32466256496264,0.90705069998512,0,0
30,110,2,1,1,2,1.12,2,0.192445399996359,1.39381666493136,0.959738600009587,0,0
31,69,1,1,1,2,1.16,2,0.12613243504893,1.22712026495719,0.893007600039709,0,0
32,27,1,2,1,2,1.16,2,0.00403653498506173,1.53879816492554,0.771292277495377,0,0
33,75,1,2,1,1,1.16,1,0.242197236220818,1.37670706497738,1.00895489996765,0,0
34,89,1,1,1,2,1.16,2,0.0914903350058012,1.25920606497675,0.858733221248258,0,0
35,36,2,2,1,1,1.12,2,0.00117990002036095,1.3027208650019,0.768420299980789,1,1
36,38,2,1,1,1,0.96,2,0.070628699962981,1.28903906501364,0.838379106251523,0,1
37,30,2,1,1,1,0.96,2,0.0187970999977551,1.32036856497871,0.786450463754591,0,1
38,9,1,1,1,1,1.16,1,0.16174960747594,1.22957536496688,0.928974663780537,0,0
39,92,2,2,1,1,1.12,2,0.0148265062598512,1.41610516497167,0.781650900025852,1,1
40,52,2,2,1,2,1.12,2,0.00218750000931323,1.42061406496214,0.769958834978752,0,0
41,99,1,2,1,2,1.16,2,0.151654199988116,1.52016976498999,0.919427406275645,0,0
42,4,2,2,1,2,0.96,2,0.000905699969734997,1.48598036495969,0.768544563790783,1,0
43,128,2,3,1,2,1.2,2,0.000909900001715869,1.5860683650244,0.768198099976871,0,0
44,81,1,1,1,2,1.16,2,0.0308608074556105,1.19864206493367,0.798079935018905,0,0
45,120,2,2,1,1,1.12,2,0.00152954994700849,1.45294436498079,0.768773848714773,1,1
46,56,2,2,1,1,1.12,2,0.261164763767738,1.72925616498105,1.02786849997938,1,1
47,23,1,2,1,1,1.16,1,0.135431835020427,1.46992466499796,0.902350899996236,0,0
48,136,2,3,1,1,1.2,2,0.135162935010158,1.2695790649741,0.902394363773055,1,1
