PresOrder,TrialNumber,Illusory_Fragmented,Fat_Thin,StimPresTime,StimPresLength,Response,RespScreenOnset_to_Resp,ExpStartOnset_to_Resp,StimOnset_to_Resp,Accuracy,StepLevel
1,257,2,1,198.043248490425,0.19826041455417,NaN,NaN,NaN,NaN,0,3.72456900197641
2,256,2,8,201.042133191455,0.19839825391864,3,1.2688739694604,2.80202521436149,1.83120999256425,1,-3.72456900197641
3,397,2,5,204.091859254011,0.198428104480627,3,1.10140938554287,2.8719984454292,1.65275191460751,1,-3.72456900197641
4,442,3,1,207.377649127706,0.198378938846872,NaN,NaN,NaN,NaN,0,-5.03984462270038
5,70,1,2,210.529181120046,0.198347039717191,1,1.42297076898285,2.81864495418631,1.98210078310876,0,-5.03984462270038
6,301,2,5,213.442205359581,0.198227637465607,3,0.815236429625656,2.58542572609258,1.36673084537688,1,-3.72456900197641
7,371,2,3,216.728739448778,0.198221784414272,3,0.764620410585849,2.42717179672036,1.32544605374096,1,3.72456900197641
8,275,2,3,219.906924774534,0.198933515481258,3,0.744315882167939,2.26537852708498,1.29683897172436,1,3.72456900197641
9,83,1,1,222.942089030183,0.198616280087663,2,1.32491957175444,3.06167301869027,1.87621644701721,0,5.03984462270038
10,95,1,1,226.192865071653,0.198368110703086,NaN,NaN,NaN,NaN,0,5.03984462270038
11,49,1,1,229.422542910916,0.199287039793489,NaN,NaN,NaN,NaN,0,5.03984462270038
12,350,2,6,232.308217889209,0.198219150541263,3,0.756016717487,2.15919012496488,1.30703849932434,1,-3.72456900197641
13,178,1,2,235.226998604925,0.198234661127572,2,1.14901810670744,2.71284197550995,1.71085896165096,1,-5.03984462270038
14,434,3,1,238.306850323717,0.198501852930349,NaN,NaN,NaN,NaN,0,-5.03984462270038
15,283,2,3,241.309508487071,0.198328017298991,3,1.04211972943631,2.78979058074219,1.60431088951373,1,3.72456900197641
16,197,1,1,244.572630077486,0.199066965054953,1,0.941797548213799,2.67868912716585,1.49327967255704,1,5.03984462270038
17,5,1,1,247.824431280931,0.198280607583001,1,0.916544264726326,2.49908560702534,1.47999997658917,1,5.03984462270038
18,421,3,1,250.921992285093,0.199012239023432,3,1.37308521077284,2.79331206919596,1.92411430892571,1,-5.03984462270038
19,194,1,2,253.856792510202,0.198238172957645,2,0.933969677096684,2.57056424294751,1.4850567204594,1,-5.03984462270038
20,363,2,3,257.007653742836,0.198332699741513,3,0.880988439930661,2.26746601791456,1.43207284942036,1,3.72456900197641
21,339,2,3,259.909128155783,0.198415813072643,3,0.988419444889587,2.48580825227509,1.5505064206518,1,3.72456900197641
22,120,1,2,262.921091500462,0.199042967544301,2,0.864583799748289,2.41803196410001,1.4155780722449,1,-5.03984462270038
23,105,1,1,265.989772377752,0.198284412064822,1,1.26329952318156,2.93351869947583,1.81480564503363,1,5.03984462270038
24,274,2,2,269.174099603135,0.198322164247656,3,1.39274853739698,2.92480379839617,1.956155376276,1,3.72456900197641
25,210,2,2,272.220523666669,0.198991460689285,3,1.30703586545133,2.92655415345689,1.85761310802445,1,3.72456900197641
26,448,3,1,275.355305688787,0.198320408333529,2,1.29130696006723,2.89644049597518,1.84320113923786,0,-5.03984462270038
