PresOrder,TrialNumber,Illusory_Fragmented,Fat_Thin,StimPresTime,StimPresLength,Response,RespScreenOnset_to_Resp,ExpStartOnset_to_Resp,StimOnset_to_Resp,Accuracy,StepLevel
1,204,2,4,189.783170402507,0.198297508452015,3,0.116610750039399,1.53974021595604,0.667662084078984,1,1.75
2,26,1,2,192.719096503592,0.199048753991519,2,0.280344525242981,1.65138051245049,0.830959510585672,1,-3.06413114750864
3,49,1,1,195.600276793157,0.198832189247696,1,0.177264974572608,1.66658013832057,0.72809652466276,1,3.06413114750864
4,152,1,2,198.597904531236,0.199039389030077,2,0.275260521535529,1.91690030295649,0.825969156498104,1,-3.06413114750864
5,261,2,5,201.753744228843,0.198886623087674,3,0.0629471769316297,1.78510309652302,0.615233807980985,1,-1.75
6,89,1,1,204.986357591706,0.199049924611245,1,0.233858610146854,1.70425099034583,0.784411259961416,1,3.06413114750864
7,443,3,1,207.964744722844,0.19826677967103,3,1.1801827455256,2.63779312330917,1.73119222989044,1,-3.06413114750864
8,39,1,1,210.931308882198,0.198287850833367,1,0.661768011163076,2.11945360129539,1.21284802539776,1,3.06413114750864
9,127,1,1,213.896812459614,0.198675326135344,3,0.467146542925548,2.22560164027345,1.01766495209813,0,3.06413114750864
10,91,1,1,217.162995113831,0.19897061509073,1,0.573428325264103,2.21569790037574,1.12411003596026,1,3.06413114750864
11,209,2,1,220.3136103333,0.198762829999396,3,0.176629035127917,1.58542425618725,0.727775774717884,1,1.75
12,395,2,3,223.229715785112,0.198356039463761,3,0.834598090952568,2.47682318249463,1.38560552673152,1,1.75
13,193,1,1,226.379541128572,0.198274681357361,1,0.294772419718356,1.68734635609326,0.846319804084487,1,3.06413114750864
14,268,2,4,229.280933932534,0.198325895993548,3,0.122171488841559,1.52967814967087,0.673204678267211,1,1.75
15,275,2,3,232.197350769331,0.198253317537819,3,0.103407909646194,1.86120102124914,0.65450372725536,1,1.75
