PresOrder,TrialNumber,Illusory_Fragmented,Fat_Thin,StimPresTime,StimPresLength,Response,RespScreenOnset_to_Resp,ExpStartOnset_to_Resp,StimOnset_to_Resp,Accuracy,StepLevel
1,379,2,3,221.229429377227,0.197310171637582,3,0.364341337088263,1.81109773688877,0.917320964665123,1,1.27270617203848
2,141,1,1,224.20047257538,0.197438646118826,1,0.717331851341442,2.17617012011397,1.27012008413112,1,3.14588523335714
3,292,2,4,227.168629633825,0.197316024690736,3,0.290603715926409,1.66406966770046,0.84286692999558,1,1.27270617203848
4,312,2,8,230.049920676518,0.197271834149433,3,0.30197385383326,1.91082202889629,0.854696532445814,1,-1.27270617203848
5,239,2,7,233.171783257989,0.197339144242505,3,0.400831894214207,2.02095509509672,0.952427275104128,1,-1.27270617203848
6,389,2,5,236.303473990942,0.197602531561643,3,0.360246249583724,2.06545233406359,0.913295235819533,1,-1.27270617203848
7,366,2,6,239.516740751666,0.197640283744477,3,0.312240398872746,2.00382057938805,0.864277685153866,1,-1.27270617203848
8,346,2,2,242.715915120218,0.197294368397706,3,0.290018410772973,1.73263465457057,0.842276649747873,1,1.27270617203848
9,274,2,2,245.665300857092,0.197358459312454,3,0.287062912402689,1.6469310548564,0.839726767848333,1,1.27270617203848
10,59,1,1,248.532728947232,0.197336217717748,1,0.781752585073264,2.52373046580578,1.33440941685876,1,3.14588523335714
11,345,2,1,251.782378861588,0.197284710862732,3,0.291611611401095,1.83391380971807,0.844231568959003,1,1.27270617203848
12,138,1,2,254.83171833009,0.197337388326559,2,0.361303895995661,1.92075787652357,0.91396072777934,1,-3.14588523335714
13,323,2,3,257.898349468733,0.197383334781989,3,0.424694785311658,2.13399595729788,0.977052818814627,1,1.27270617203848
14,97,1,1,261.114264735277,0.197277979854334,1,0.6413454877802,2.30194136939645,1.19450246281667,1,3.14588523335714
15,238,2,6,264.281590016566,0.19737045806869,3,0.894594443523602,2.65453358349259,1.44761913959519,1,-1.27270617203848
16,190,1,2,267.549471308488,0.197369287458059,1,0.892089337467041,2.46664038646486,1.44446288155632,0,-3.14588523335714
17,251,2,3,270.630992024924,0.197317780604862,3,0.524831132146574,2.00114778340503,1.07751839979937,1,1.27270617203848
18,194,1,2,273.614507490589,0.197286759432245,1,1.04602283685017,2.72225660890035,1.59907240839311,0,-3.14588523335714
19,120,1,2,276.797668788106,0.197550146749563,2,0.365082040760171,1.87445965359802,0.917734482754895,1,-3.14588523335714
20,242,2,2,279.814968945171,0.197563901421745,3,0.247248992616733,1.6891675526731,0.799532692366483,1,1.27270617203848
21,211,2,3,282.764529102982,0.197313390815907,3,0.324334266600999,1.88355383241651,0.876541584029837,1,1.27270617203848
22,263,2,7,285.831012452074,0.197278857813217,3,0.458739644855086,2.18472464758088,1.01123990750966,1,-1.27270617203848
23,188,1,2,289.06449770136,0.197322463045566,2,0.606467739004074,2.21522724033639,1.15916817602192,1,-3.14588523335714
24,104,1,2,292.180673750614,0.197303147977436,2,0.861383351169934,2.58720417580116,1.41396438593802,1,-3.14588523335714
25,40,1,2,295.41317861377,0.197676572664932,2,0.541278499604232,2.25135988335933,1.09427890551524,1,-3.14588523335714
26,326,2,6,298.630362236579,0.197412892692228,3,0.344076316769133,1.95325635985319,0.896325776166123,1,-1.27270617203848
27,11,1,1,301.746628130175,0.197278272507901,1,0.395672429287515,1.789024708949,0.948678102944541,1,3.14588523335714
28,49,1,1,304.647526895504,0.197322755699133,1,0.48851265473786,1.8642882206459,1.04147501581065,1,3.14588523335714
29,300,2,4,307.531117309492,0.197428695932103,3,0.2615310236597,1.63636337031494,0.81381472340945,1,1.27270617203848
30,165,1,1,310.41263574324,0.197287930042876,1,0.458865778115069,2.2188900799847,1.01155158250367,1,3.14588523335714
31,305,2,1,313.680123417444,0.197572973653223,3,0.290697364751395,1.99956336235664,0.84316192379265,1,1.27270617203848
32,340,2,4,316.896189692718,0.197542537782283,3,0.316322902317552,1.95912053218308,0.868897498727165,1,1.27270617203848
33,250,2,2,320.045816809437,0.197498347244618,3,0.331414703041446,2.05776376557151,0.88372737539612,1,1.27270617203848
34,248,2,8,323.27957656684,0.197297880229598,3,0.299595758995565,1.97566476764405,0.851700648019687,1,-1.27270617203848
35,31,1,1,326.462675529358,0.197328023445152,1,0.705244421968018,2.06461329912781,1.25739847662589,1,3.14588523335714
36,114,1,2,329.3289965148,0.197304318586248,1,0.848978686404735,2.35844350971274,1.40156850075073,0,-3.14588523335714
37,18,1,2,332.345528458853,0.197279150464965,2,0.480202199518317,2.18973778621876,1.03274665271238,1,-3.14588523335714
38,256,2,8,335.562575998216,0.197508004779593,3,0.237129651821306,1.61286249045588,0.789690786214123,1,-1.27270617203848
39,119,1,1,338.445129251473,0.1973411928102,1,0.475498394653187,2.00193853066776,1.0281476174714,1,3.14588523335714
40,217,2,1,341.478594366263,0.197299343491977,3,0.209761368163527,1.93646424765757,0.762784893624485,1,1.27270617203848
41,306,2,2,344.714074042857,0.197451815483873,3,0.21368086412258,1.80503514611155,0.766803891459858,1,1.27270617203848
42,404,3,1,347.812400040853,0.197301099407923,NaN,NaN,NaN,NaN,0,-3.14588523335714
43,299,2,3,350.864873525799,0.197298172881347,3,0.749282489045072,2.22226729071917,1.30201892232981,1,1.27270617203848
44,415,3,1,353.844900572751,0.197303440627365,3,0.495910033914697,1.92200633241555,1.0485185780235,1,-3.14588523335714
45,290,2,2,356.778082721763,0.197572095694341,3,0.384442179312828,2.06080501114775,0.937200268890592,1,1.27270617203848
46,35,1,1,359.961352886037,0.197569754473079,1,0.55821986461342,1.91761537315688,1.11052639126319,1,3.14588523335714
47,146,1,2,362.827814637369,0.197325096918576,1,0.891825072189022,2.634946639193,1.44395308076855,0,-3.14588523335714
48,189,1,1,366.077954744791,0.197302270018554,1,0.687849152813214,2.28079692808387,1.24031458981335,1,3.14588523335714
49,227,2,3,369.178052754138,0.197279150464965,3,0.267272281907935,1.89296436867153,0.819894580688924,1,1.27270617203848
50,269,2,5,372.311649240668,0.197259542743268,3,0.312548269383115,1.6713025761328,0.864979173380561,1,-1.27270617203848
51,288,2,8,375.177561097809,0.197297880229598,3,0.351895700963723,1.86119049312219,0.904399182798443,1,-1.27270617203848
52,131,1,1,378.193604604712,0.197383920087304,1,0.347730084185969,1.94098602262056,0.900422034281291,1,3.14588523335714
53,253,2,5,381.293451810801,0.197316902647799,3,0.216753130871439,1.97723397076152,0.769813237906419,1,-1.27270617203848
54,45,1,1,384.560605568417,0.197361385839031,1,0.526907502178801,2.27018915014014,1.07989825055301,1,3.14588523335714
55,260,2,4,387.81048345913,0.197358166660706,3,0.385602254127662,1.82821966853589,0.937927803195635,1,1.27270617203848
56,439,3,1,390.760730472537,0.197275053329577,3,0.718684198896881,2.27776534004261,1.27135858983638,1,-3.14588523335714
57,448,3,1,393.82687317403,0.197275053327758,3,0.404501172220989,1.96386794228056,0.956944952928097,1,-3.14588523335714
58,295,2,7,396.893150203057,0.197558341022159,3,0.22639193613395,1.76940030511832,0.778857665785836,1,-1.27270617203848
59,213,2,5,399.942958208334,0.197564194075312,3,0.346514112730802,1.83961438925871,0.898807762669094,1,-1.27270617203848
60,429,3,1,402.944664665509,0.197383627435556,3,0.623484608377112,1.98177506079082,1.17575835793832,1,-3.14588523335714
61,226,2,2,405.810165931083,0.197298758186662,3,0.253415475057409,1.99612118275036,0.806021970598522,1,1.27270617203848
62,107,1,1,409.05972278192,0.19727856515965,1,0.560032847324692,2.00270410980738,1.11268470401592,1,3.14588523335714
