PresOrder,TrialNumber,Illusory_Fragmented,Fat_Thin,StimPresTime,StimPresLength,Response,RespScreenOnset_to_Resp,ExpStartOnset_to_Resp,StimOnset_to_Resp,Accuracy,StepLevel
1,294,2,6,153.674090601406,0.19838917697416,3,0.362102726623561,2.03709089610675,0.91874214042582,1,-2.26143474782682
2,415,3,1,156.870408377379,0.198274749482152,3,0.541966648630478,2.12056911727814,1.09817498392658,1,-2.01461290930316
3,383,2,7,159.965820420244,0.198306648704602,3,0.17674862621061,1.79318094088558,0.739196625354452,1,-2.26143474782682
4,172,1,2,163.098429885065,0.198329475673745,1,0.657642015199599,2.21241634867511,1.20815180284808,0,-2.01461290930316
5,316,2,4,166.174150449033,0.198211828992498,3,0.13950057520924,1.68073002984056,0.69062991017563,1,2.26143474782682
6,323,2,3,169.232866970577,0.198160614641893,3,0.174099819989351,1.60669193046306,0.736298478406752,1,2.26143474782682
7,57,1,1,172.181200470235,0.198213584913901,1,0.274185830832721,1.96176102447498,0.824949641659259,1,2.01461290930316
8,269,2,5,175.38470961902,0.19820948776578,3,0.219827504213754,1.75015064335457,0.779650987369678,1,-2.26143474782682
9,38,1,2,178.431131184534,0.198351424680368,2,0.684121297825186,2.45550716693651,1.23525385197718,1,-2.01461290930316
10,113,1,1,181.716743376008,0.198257190275399,1,0.0452392456445523,1.61000564528513,0.606239488253777,1,2.01461290930316
11,155,1,1,184.79759532527,0.198278846628455,1,0.113688249759434,1.58509732628954,0.664140092027083,1,2.01461290930316
12,185,1,1,187.78376510933,0.19830255155648,1,0.219092066136,1.98342176832375,0.78004519154274,1,2.01461290930316
13,26,1,2,191.06347711494,0.198162077909728,1,0.245923410839168,1.98289879663935,0.796284823198221,0,-2.01461290930316
14,132,1,2,194.31532412392,0.198207146537243,2,0.191414075048669,1.70720609327873,0.753875536251144,1,-2.01461290930316
15,347,2,3,197.34711301778,0.198297576449477,3,0.0433744579695485,1.73142345751876,0.594344004159211,1,2.26143474782682
16,428,3,1,200.550528810121,0.198387421054576,3,0.351968138234952,2.03228991653668,0.912222699898848,1,-2.01461290930316
17,162,1,2,203.747467596681,0.198309282586706,2,0.390400850332298,2.1070786719738,0.953102580002451,1,-2.01461290930316
18,262,2,6,206.980294473737,0.198375129608394,3,0.18270031908105,1.55402689660696,0.733388332668255,1,-2.26143474782682
19,336,2,8,209.866217580218,0.198389469627728,3,0.0185735427839973,1.46600698680777,0.579162899972289,1,-2.26143474782682
20,388,2,4,212.828208337638,0.198790112177448,3,0.232516957072221,1.95434928362738,0.783954163447561,1,2.26143474782682
21,65,1,1,216.064393412838,0.198221193903009,1,0.419917290286321,1.79012271251122,0.970568136890506,1,2.01461290930316
22,114,1,2,218.950131562351,0.198202756737373,2,0.404219945443401,1.98444781125909,0.96474608949211,1,-2.01461290930316
23,438,3,1,222.045796750434,0.198221486556577,3,0.348576577600397,2.12044327630247,0.900107140421824,1,-2.01461290930316
24,29,1,1,225.332399573779,0.198335621396836,1,0.125323857604599,1.68965595954978,0.68655705234778,1,2.01461290930316
25,94,1,2,228.412132416313,0.198388884320593,2,0.254595024714945,1.65882696894914,0.805756844212738,1,-2.01461290930316
26,351,2,7,231.331226618819,0.198471119934766,3,0.387936123121108,1.80311301309848,0.949439144329517,1,-2.26143474782682
27,430,3,1,234.261414727667,0.198776942772383,3,0.306153243287554,1.96080873020219,0.857593083544998,1,-2.01461290930316
28,59,1,1,237.430711226858,0.198247825366707,1,0.151138816936509,1.78334017654561,0.713079647681298,1,2.01461290930316
29,195,1,1,240.578109347614,0.198450048887025,1,0.563157391063214,1.98824791608786,1.1181670178994,1,2.01461290930316
30,240,2,8,243.518163388997,0.198308111972437,3,0.160710632771952,1.67203851553313,0.719040412805043,1,-2.26143474782682
31,238,2,6,246.544991221859,0.19825601966113,3,0.161276331857152,1.76527614339102,0.712175348571691,1,-2.26143474782682
32,307,2,3,249.664678281692,0.198303136865434,3,0.298476065778232,1.82957883366362,0.859697847037751,1,2.26143474782682
33,52,1,2,252.711432008851,0.198236411881226,2,0.491469006099578,1.87863223150271,1.04222667120484,1,-2.01461290930316
34,174,1,2,255.613060361818,0.19826655518591,2,0.768647803592103,2.28875324077126,1.31896414732,1,-2.01461290930316
35,232,2,8,258.648378948736,0.19815651749559,3,0.0750656055843137,1.6056017964238,0.635532926291489,1,-2.26143474782682
36,72,1,2,261.694326415689,0.198202756737373,1,0.444444867167476,1.99976938909458,0.996069371740305,0,-2.01461290930316
37,169,1,1,264.764767219069,0.198436586830212,1,0.243200855953546,1.65721766772185,0.803887959389613,1,2.01461290930316
38,417,3,1,267.695395186027,0.198175832621928,3,0.285057613218669,1.91837603098065,0.848514096091094,1,-2.01461290930316
39,405,3,1,270.844502988137,0.198207439192629,3,0.427265525337134,2.0815654383332,0.978017922681829,1,-2.01461290930316
40,425,3,1,274.013134871382,0.198202171430239,3,0.17935177849904,1.944558270372,0.740811194344133,1,-2.01461290930316
41,444,3,1,277.294616844956,0.198172906086256,3,0.311477194542022,1.69511950649212,0.873713605253215,1,-2.01461290930316
42,371,2,3,280.193389778377,0.198859178388375,3,0.192967479473737,1.76426736700523,0.744492774532773,1,2.26143474782682
43,186,1,2,283.279047389662,0.198459121145788,2,0.0882835905431421,1.47070173318207,0.650333873669297,1,-2.01461290930316
44,117,1,1,286.176989187334,0.198432197028524,1,0.258830597851556,1.81289875859329,0.809970468342726,1,2.01461290930316
45,73,1,1,289.245447556357,0.198197488974984,1,0.223252427340412,1.67220913248457,0.785248276930361,1,2.01461290930316
46,396,2,4,292.209186332733,0.198488093834385,3,0.110045885130603,1.58046403713706,0.660494508212651,1,2.26143474782682
47,402,3,1,295.194451525031,0.198220901249442,3,0.333880692804087,1.97125587245682,0.883959694598161,1,-2.01461290930316
48,165,1,1,298.34636967806,0.19827504213572,1,0.555207753208379,2.0031117839535,1.11665253638421,1,2.01461290930316
49,61,1,1,301.309803216904,0.198230851465269,1,0.247486180172928,1.93592762797743,0.79906473815754,1,2.01461290930316
50,301,2,5,304.513095509496,0.198354058562472,3,0.160298869392136,1.92457062619906,0.721421148484296,1,-2.26143474782682
51,320,2,8,307.792881263771,0.198217682062023,3,0.109601637221203,1.56454251976356,0.660746190163991,1,-2.26143474782682
52,311,2,7,310.762593096715,0.198287333578264,3,0.0965835345559753,1.81104538440195,0.657919743307502,1,-2.26143474782682
53,398,2,6,313.992241757489,0.198548087788367,3,0.0841747363410832,1.80541063520104,0.635532048330788,1,-2.26143474782682
54,332,2,4,317.227786506979,0.198259531502117,3,0.286962201760616,1.87371301994608,0.837273570379693,1,2.26143474782682
55,241,2,1,320.329715649144,0.198321574029251,3,0.314087077858858,1.82786095801202,0.874643072556864,1,2.26143474782682
56,304,2,8,323.359042742326,0.198197488974984,3,0.119231983742793,1.8065955889524,0.670078908144205,1,-2.26143474782682
57,11,1,1,326.561072528008,0.198342352425243,2,0.856938710470786,2.57239060687789,1.41913971011491,0,2.01461290930316
58,49,1,1,329.792043396992,0.198138958288837,1,0.0790284257218445,1.54942814055903,0.629409445857164,1,2.01461290930316
59,216,2,8,332.777101098005,0.198204805312344,3,0.0738086590881721,1.5563657828443,0.63610067395166,1,-2.26143474782682
60,145,1,1,335.774400199472,0.199167927759845,1,0.335594763961126,2.00684252991778,0.887309991101574,1,2.01461290930316
61,333,2,5,338.960411599493,0.198351424680368,3,0.675971485019545,2.4126811415008,1.22631094837016,1,-2.26143474782682
62,239,2,7,342.211571165559,0.198285870312247,3,0.20911492529558,1.87358952019713,0.770458157729081,1,-2.26143474782682
63,309,2,5,345.39224105512,0.198369276540689,3,0.0635014051749749,1.48481728621846,0.614707122687832,1,-2.26143474782682
64,382,2,6,348.329307104952,0.198204805310525,3,0.0276431653292093,1.72408751391231,0.587354854871592,1,-2.26143474782682
65,299,2,3,351.541754182237,0.198219437981606,3,0.080628654692191,1.73524287747387,0.631743649639247,1,2.26143474782682
