CatchTime,CatchType,Accuracy,ResponseTime
4,4,0,0
10,2,1,0.0503776241093874
12,1,1,0.0588185209780931
20,1,1,0.0579242259263992
26,3,0,0
28,3,0,0
30,3,0,0
34,3,0,0
38,3,0,0
46,4,0,0
52,1,1,0.0327614056877792
54,2,1,0.00614315271377563
62,3,0,0
64,1,1,0.0758541719987988
68,4,0,0
70,1,1,0.0684628649614751
74,3,0,0
90,4,0,0
100,1,1,0.0149719906039536
102,2,1,0.0858206441625953
104,2,1,0.0246173110790551
106,2,1,0.0920521817170084
122,2,1,0.0498564247973263
132,2,1,0.0674682930111885
140,4,0,0
146,4,0,0
148,3,0,0
160,1,1,0.0998994852416217
164,1,1,0.0416710092686117
166,4,0,0
182,1,1,0.109969140961766
184,2,1,0.0592537648044527
190,3,0,0
206,2,1,0.0672670938074589
212,4,0,0
214,2,1,0.0414577377960086
216,1,1,0.00606919918209314
232,3,0,0
236,4,0,0
238,4,0,0
