CatchTime,CatchType,Accuracy,ResponseTime
28,4,0,0
30,3,0,0
36,1,1,0.025286850053817
44,2,1,0.0504049030132592
48,1,1,0.0677410461939871
52,3,1,0.101910988334566
56,4,0,0
58,2,1,0.102637232746929
72,3,0,0
74,4,0,0
86,4,0,0
96,2,1,0.100370122119784
112,3,0,0
114,1,1,0.118495548143983
116,1,1,0.0217085853219032
118,2,1,0.0759718408808112
122,3,0,0
126,4,0,0
128,4,0,0
130,3,0,0
138,2,1,0.0152236390858889
140,3,0,0
144,3,0,0
150,2,0,0
152,2,1,0.0238227560184896
160,4,0,0
166,4,0,0
174,1,1,0.0132106710225344
180,2,1,0.101155458949506
182,2,1,0.0666003553196788
184,1,1,0.0148857678286731
192,1,1,0.0060325707308948
200,3,0,0
202,3,0,0
210,2,1,0.102883022278547
216,1,1,0.0237204660661519
224,1,0,0
226,1,1,0.101576335728168
228,4,0,0
238,4,0,0
