PresOrder,TrialNumber,Far_Close,Hallway,Perspective,Phase,Catch_Trial,Response,Response_Time
1,45,1,1,1,1,1,1,NaN
2,51,2,1,1,2,1,1,NaN
3,31,2,2,2,2,1,1,NaN
4,35,2,2,1,2,1,1,NaN
5,24,2,1,2,2,1,1,NaN
6,72,1,2,2,1,1,1,NaN
7,57,2,2,2,2,1,1,NaN
8,78,2,2,1,2,1,1,NaN
9,32,1,1,1,1,1,1,NaN
10,5,1,1,1,1,1,1,NaN
11,37,1,1,2,1,2,1,0.503418621074161
12,18,2,2,1,2,1,1,NaN
13,25,1,2,1,1,1,1,NaN
14,8,1,2,2,1,1,1,NaN
15,27,2,2,2,2,1,1,NaN
16,85,2,1,2,2,1,1,NaN
17,41,1,1,1,1,1,1,NaN
18,103,2,1,1,2,2,1,0.480389789820038
19,95,1,2,2,1,1,1,NaN
20,83,2,2,2,2,1,1,NaN
21,82,1,2,1,1,1,1,NaN
22,12,1,2,2,1,1,1,NaN
23,101,2,2,2,2,1,1,NaN
24,61,2,2,2,2,1,1,NaN
25,19,1,1,1,1,1,1,NaN
26,87,2,2,1,2,1,1,NaN
27,34,1,2,1,1,1,1,NaN
28,104,2,1,1,2,1,1,NaN
29,56,1,2,2,1,1,1,NaN
30,89,1,1,2,1,1,1,NaN
31,99,1,2,2,1,1,1,NaN
32,26,2,1,2,2,2,1,0.421273969343019
33,40,2,2,1,2,1,1,NaN
34,33,2,1,2,2,1,1,NaN
35,67,2,1,2,2,1,1,NaN
36,55,2,1,2,2,1,1,NaN
37,2,2,1,2,2,1,1,NaN
38,63,2,1,1,2,1,1,NaN
39,58,1,1,1,1,1,1,NaN
40,74,2,2,1,2,2,1,0.457274626054641
41,100,2,2,1,2,2,1,0.688018306003869
42,60,1,2,2,1,1,1,NaN
43,15,1,1,2,1,1,1,NaN
44,16,2,1,1,2,1,1,NaN
45,59,2,1,1,2,1,1,NaN
46,54,1,1,2,1,1,1,NaN
47,23,1,1,1,1,1,1,NaN
48,3,1,2,2,1,1,1,NaN
49,109,1,2,1,1,1,1,NaN
50,94,2,1,1,2,1,1,NaN
51,93,1,1,2,1,1,1,NaN
52,50,1,1,2,1,1,1,NaN
53,92,2,2,1,2,1,1,NaN
54,30,1,2,1,1,1,1,NaN
55,86,1,2,1,1,1,1,NaN
56,102,1,1,1,1,1,1,NaN
57,81,1,1,2,1,2,1,0.546767198680755
58,52,1,2,2,1,1,1,NaN
59,43,1,2,2,1,1,1,NaN
60,90,2,1,1,2,1,1,NaN
61,75,1,1,1,1,1,1,NaN
62,77,1,2,1,1,1,1,NaN
63,91,1,2,2,1,1,1,NaN
