PresOrder,TrialNumber,Far_Close,Hallway,Perspective,Phase,Catch_Trial,Response,Response_Time
1,77,1,1,2,1,1,1,NaN
2,43,2,2,2,2,1,1,NaN
3,10,1,1,1,1,1,1,NaN
4,103,1,1,2,1,1,1,NaN
5,16,1,2,1,1,1,1,NaN
6,60,2,1,1,2,1,1,NaN
7,30,1,1,2,1,1,1,NaN
8,66,2,2,2,2,1,1,NaN
9,84,1,2,1,1,1,1,NaN
10,53,2,2,2,2,2,1,0.464415160413409
11,26,1,1,2,1,1,1,NaN
12,55,1,2,1,1,1,1,NaN
13,100,2,1,2,2,1,1,NaN
14,56,2,1,1,2,2,1,0.412461871139385
15,65,1,2,2,1,1,1,NaN
16,88,1,2,2,1,1,1,NaN
17,35,2,1,2,2,1,1,NaN
18,5,2,2,2,2,1,1,NaN
19,23,2,1,2,2,1,1,NaN
20,110,2,2,2,2,1,1,NaN
21,54,2,1,1,2,1,1,NaN
22,4,1,2,1,1,1,1,NaN
23,107,1,1,1,1,1,1,NaN
24,83,2,1,2,2,1,1,NaN
25,97,1,2,1,1,1,1,NaN
26,18,1,1,2,1,1,1,NaN
27,76,2,2,1,2,1,1,NaN
28,38,2,1,2,2,2,1,0.449089867781368
29,64,2,1,2,2,1,1,NaN
30,69,1,1,2,1,2,1,0.404617927082654
31,89,2,2,1,2,1,1,NaN
32,47,2,2,1,2,1,1,NaN
33,78,2,1,2,2,1,1,NaN
34,1,1,1,1,1,1,1,NaN
35,37,2,2,2,2,1,1,NaN
36,74,2,1,1,2,1,1,NaN
37,51,2,2,2,2,1,1,NaN
38,9,2,2,2,2,1,1,NaN
39,99,1,1,2,1,1,1,NaN
40,73,1,1,1,1,1,1,NaN
41,70,1,2,2,1,1,1,NaN
42,80,1,2,1,1,2,1,0.449947337323465
43,31,2,1,1,2,1,1,NaN
44,109,1,2,2,1,1,1,NaN
45,92,1,2,2,1,1,1,NaN
46,34,1,1,2,1,1,1,NaN
47,58,1,1,1,1,1,1,NaN
48,104,2,1,1,2,1,1,NaN
49,46,1,2,2,1,1,1,NaN
50,15,2,1,2,2,1,1,NaN
51,48,1,1,2,1,1,1,NaN
52,50,1,2,1,1,1,1,NaN
53,36,1,2,1,1,1,1,NaN
54,98,2,2,1,2,1,1,NaN
55,95,1,1,2,1,1,1,NaN
56,72,2,1,2,2,2,1,0.572056267561493
57,7,2,1,1,2,1,1,NaN
58,79,1,2,2,1,1,1,NaN
59,63,1,1,1,1,1,1,NaN
60,91,2,1,2,2,1,1,NaN
61,105,1,2,2,1,1,1,NaN
62,93,1,1,2,1,2,1,0.453722544512857
63,25,2,2,1,2,1,1,NaN
64,21,2,2,2,2,1,1,NaN
65,108,2,1,1,2,1,1,NaN
66,86,1,1,2,1,1,1,NaN
67,57,2,2,1,2,1,1,NaN
68,41,1,2,1,1,1,1,NaN
69,20,1,2,2,1,1,1,NaN
70,19,2,1,1,2,1,1,NaN
71,29,2,2,1,2,1,1,NaN
72,33,2,2,1,2,1,1,NaN
73,3,2,1,2,2,1,1,NaN
74,27,2,1,2,2,1,1,NaN
75,71,2,2,2,2,1,1,NaN
76,12,1,2,2,1,1,1,NaN
77,42,2,2,2,2,2,1,0.469037594333713
78,102,2,2,1,2,1,1,NaN
79,22,1,1,1,1,1,1,NaN
80,61,1,2,2,1,1,1,NaN
81,90,1,1,1,1,1,1,NaN
82,17,2,2,2,2,1,1,NaN
83,75,1,2,2,1,1,1,NaN
84,45,2,1,2,2,1,1,NaN
85,11,2,1,2,2,1,1,NaN
86,62,2,2,1,2,1,1,NaN
87,81,2,2,1,2,1,1,NaN
88,6,1,1,2,1,1,1,NaN
89,67,1,1,1,1,1,1,NaN
90,24,1,2,2,1,1,1,NaN
91,2,1,2,1,1,2,1,0.542461569706575
92,68,2,1,1,2,1,1,NaN
93,106,2,2,1,2,1,1,NaN
94,52,1,1,2,1,1,1,NaN
95,40,2,1,2,2,1,1,NaN
96,8,1,2,1,1,1,1,NaN
97,59,1,1,2,1,2,1,0.483467665349963
98,85,2,2,1,2,1,1,NaN
99,87,2,1,2,2,1,1,NaN
100,14,1,1,1,1,1,1,NaN
101,94,2,2,2,2,1,1,NaN
102,28,1,2,2,1,1,1,NaN
103,101,1,2,1,1,1,1,NaN
104,39,1,1,2,1,1,1,NaN
105,13,2,2,2,2,1,1,NaN
106,32,1,2,1,1,1,1,NaN
107,82,1,1,1,1,1,1,NaN
108,44,1,1,2,1,1,1,NaN
109,96,2,1,1,2,1,1,NaN
110,49,2,1,1,2,1,1,NaN
111,198,1,1,1,1,1,1,NaN
112,150,2,2,2,2,1,1,NaN
113,218,2,1,1,2,1,1,NaN
114,193,2,2,2,2,1,1,NaN
115,214,1,2,2,1,1,1,NaN
116,219,1,2,1,1,1,1,NaN
117,173,2,1,1,2,1,1,NaN
118,141,2,2,2,2,1,1,NaN
119,138,2,1,2,2,1,1,NaN
120,132,2,2,1,2,1,1,NaN
121,163,2,2,2,2,1,1,NaN
122,144,1,1,2,1,2,1,0.549620416086327
123,134,2,1,1,2,1,1,NaN
124,128,2,2,1,2,1,1,NaN
125,119,1,2,1,1,2,1,0.483109752296514
126,117,2,1,2,2,1,1,NaN
127,200,1,2,2,1,2,1,0.595145902978402
128,201,1,2,1,1,1,1,NaN
129,159,2,2,2,2,1,1,NaN
130,179,2,2,2,2,1,1,NaN
131,211,2,2,1,2,1,1,NaN
132,177,2,1,2,2,1,1,NaN
133,192,1,2,2,1,1,1,NaN
134,121,1,1,1,1,1,1,NaN
135,196,1,2,1,1,1,1,NaN
136,197,2,2,2,2,1,1,NaN
137,188,2,2,1,2,1,1,NaN
138,152,2,1,1,2,1,1,NaN
139,149,1,2,2,1,1,1,NaN
140,215,2,2,2,2,2,0,NaN
141,170,1,2,2,1,1,1,NaN
142,205,1,2,2,1,1,1,NaN
143,129,1,1,2,1,1,1,NaN
144,116,1,1,2,1,1,1,NaN
145,176,1,1,2,1,1,1,NaN
146,171,2,2,1,2,1,1,NaN
147,143,2,1,1,2,1,1,NaN
148,130,2,1,2,2,1,1,NaN
149,123,1,2,2,1,1,1,NaN
150,135,1,2,1,1,1,1,NaN
151,145,1,2,2,1,1,1,NaN
152,175,2,2,2,2,1,1,NaN
153,206,2,2,1,2,1,1,NaN
154,120,2,2,1,2,1,1,NaN
155,184,2,2,1,2,1,1,NaN
156,157,2,1,2,2,1,1,NaN
157,207,1,1,2,1,1,1,NaN
158,187,1,2,1,1,1,1,NaN
159,154,2,1,2,2,2,1,0.706061782875622
160,139,1,1,2,1,2,1,0.46626501193532
161,194,1,1,1,1,1,1,NaN
162,158,1,2,2,1,1,1,NaN
163,127,1,2,1,1,1,1,NaN
164,165,2,1,1,2,1,1,NaN
165,180,1,1,1,1,1,1,NaN
166,186,2,1,1,2,1,1,NaN
167,203,1,1,2,1,1,1,NaN
168,202,2,2,2,2,1,1,NaN
169,155,2,2,2,2,1,1,NaN
170,118,1,2,2,1,1,1,NaN
171,164,1,1,1,1,1,1,NaN
172,147,1,1,2,1,1,1,NaN
173,212,1,1,1,1,1,1,NaN
174,111,1,1,1,1,1,1,NaN
175,169,2,1,1,2,1,1,NaN
176,199,2,1,2,2,1,1,NaN
177,216,2,2,2,2,1,1,NaN
178,115,2,2,2,2,1,1,NaN
179,168,1,1,2,1,1,1,NaN
180,167,2,2,1,2,1,1,NaN
181,210,2,2,2,2,2,1,0.508729069182664
182,137,1,1,2,1,1,1,NaN
183,183,2,2,1,2,2,1,0.483151308841116
184,131,1,2,1,1,1,1,NaN
185,146,2,2,2,2,1,1,NaN
186,213,2,1,1,2,1,1,NaN
187,172,1,1,1,1,1,1,NaN
188,126,2,1,2,2,1,1,NaN
189,153,1,2,1,1,1,1,NaN
190,136,2,2,1,2,1,1,NaN
191,122,2,1,1,2,1,1,NaN
192,204,2,1,2,2,1,1,NaN
193,142,1,1,2,1,1,1,NaN
194,112,2,1,2,2,2,1,0.90524610400098
195,208,2,1,2,2,1,1,NaN
196,220,2,2,1,2,1,1,NaN
197,189,1,2,1,1,2,1,0.469805805098076
198,160,1,1,1,1,1,1,NaN
199,140,1,2,1,1,1,1,NaN
